"","fichier","corpus","loc","utt","token","age","annee","fichier","corpus","loc","utt","token","age","annee","nbx","sumx","nbsx","sumsx","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj","x","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj"
"1","./ttg_perceo_clan/TDL_GP5_NOAH_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP5 "," CHI ",1466,438,"5;03.17",5.25,"./ttg_perceo_clan/TDL_GP5_NOAH_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP5 "," CHI ",1466,438,"5;03.17",5.25,0,0,0,0,1,5,0,8,11,74,5,0,4,0,5,4,5,0,25,1,0,70,"x",0.00228310502283105,0.0114155251141553,0,0.0182648401826484,0.0251141552511416,0.168949771689498,0.0114155251141553,0,0.0091324200913242,0,0.0114155251141553,0.0091324200913242,0.0114155251141553,0,0.0570776255707763,0.00228310502283105,0,0.159817351598174
"2","./ttg_perceo_clan/TDL_GP5_VICTOR_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP5 "," CHI ",975,378,"5;02.12",5.16667,"./ttg_perceo_clan/TDL_GP5_VICTOR_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP5 "," CHI ",975,378,"5;02.12",5.16667,0,0,0,0,0,0,0,0,0,45,1,0,5,2,6,3,0,0,13,0,0,14,"x",0,0,0,0,0,0.119047619047619,0.00264550264550265,0,0.0132275132275132,0.00529100529100529,0.0158730158730159,0.00793650793650794,0,0,0.0343915343915344,0,0,0.037037037037037
"3","./ttg_perceo_clan/TDL_GP6_ADAM_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",543,353,"5;09.17",5.75,"./ttg_perceo_clan/TDL_GP6_ADAM_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",543,353,"5;09.17",5.75,0,0,0,0,2,0,1,0,1,18,1,0,0,0,12,0,1,0,4,0,0,5,"x",0.0056657223796034,0,0.0028328611898017,0,0.0028328611898017,0.0509915014164306,0.0028328611898017,0,0,0,0.0339943342776204,0,0.0028328611898017,0,0.0113314447592068,0,0,0.0141643059490085
"4","./ttg_perceo_clan/TDL_GP6_CEDRIC_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",1080,396,"5;10.23",5.83333,"./ttg_perceo_clan/TDL_GP6_CEDRIC_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",1080,396,"5;10.23",5.83333,0,0,0,0,0,0,0,1,4,60,11,0,5,0,2,4,8,0,7,0,0,36,"x",0,0,0,0.00252525252525253,0.0101010101010101,0.151515151515152,0.0277777777777778,0,0.0126262626262626,0,0.00505050505050505,0.0101010101010101,0.0202020202020202,0,0.0176767676767677,0,0,0.0909090909090909
"5","./ttg_perceo_clan/TDL_GP6_DAVID_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",1173,436,"5;07.05",5.58333,"./ttg_perceo_clan/TDL_GP6_DAVID_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP6 "," CHI ",1173,436,"5;07.05",5.58333,0,0,0,0,3,4,0,4,0,31,1,0,3,2,14,3,1,0,14,2,0,10,"x",0.00688073394495413,0.00917431192660551,0,0.00917431192660551,0,0.0711009174311927,0.00229357798165138,0,0.00688073394495413,0.00458715596330275,0.0321100917431193,0.00688073394495413,0.00229357798165138,0,0.0321100917431193,0.00458715596330275,0,0.0229357798165138
"6","./ttg_perceo_clan/TDL_GP8_ANTOINE_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1398,416,"8;02.11",8.16667,"./ttg_perceo_clan/TDL_GP8_ANTOINE_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1398,416,"8;02.11",8.16667,0,0,0,0,4,4,3,6,8,63,6,0,4,0,5,5,8,0,25,1,0,40,"x",0.00961538461538462,0.00961538461538462,0.00721153846153846,0.0144230769230769,0.0192307692307692,0.151442307692308,0.0144230769230769,0,0.00961538461538462,0,0.0120192307692308,0.0120192307692308,0.0192307692307692,0,0.0600961538461538,0.00240384615384615,0,0.0961538461538462
"7","./ttg_perceo_clan/TDL_GP8_EMMA_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1275,386,"7;08.11",7.66667,"./ttg_perceo_clan/TDL_GP8_EMMA_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1275,386,"7;08.11",7.66667,0,0,0,0,2,2,2,1,15,46,2,0,7,0,7,6,6,0,17,0,0,57,"x",0.00518134715025907,0.00518134715025907,0.00518134715025907,0.00259067357512953,0.038860103626943,0.119170984455959,0.00518134715025907,0,0.0181347150259067,0,0.0181347150259067,0.0155440414507772,0.0155440414507772,0,0.0440414507772021,0,0,0.147668393782383
"8","./ttg_perceo_clan/TDL_GP8_MANON_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1875,447,"8;04.24",8.33333,"./ttg_perceo_clan/TDL_GP8_MANON_JS.tei_corpo_ttg.tei_corpo.cha "," TDL_GP8 "," CHI ",1875,447,"8;04.24",8.33333,0,0,0,0,1,0,3,6,9,129,5,0,5,0,12,11,8,0,36,2,1,89,"x",0.00223713646532438,0,0.00671140939597315,0.0134228187919463,0.0201342281879195,0.288590604026846,0.0111856823266219,0,0.0111856823266219,0,0.0268456375838926,0.0246085011185682,0.0178970917225951,0,0.0805369127516778,0.00447427293064877,0.00223713646532438,0.19910514541387
"9","./ttg_perceo_clan/TV_GP5_ALBAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",805,190,"5;01.05",5.08333,"./ttg_perceo_clan/TV_GP5_ALBAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",805,190,"5;01.05",5.08333,0,0,0,0,1,2,0,5,10,30,0,0,7,0,2,2,7,0,9,0,0,31,"x",0.00526315789473684,0.0105263157894737,0,0.0263157894736842,0.0526315789473684,0.157894736842105,0,0,0.0368421052631579,0,0.0105263157894737,0.0105263157894737,0.0368421052631579,0,0.0473684210526316,0,0,0.163157894736842
"10","./ttg_perceo_clan/TV_GP5_FRANCOIS_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1520,258,"5;",5,"./ttg_perceo_clan/TV_GP5_FRANCOIS_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1520,258,"5;",5,0,0,0,0,1,1,1,5,11,65,9,0,7,0,2,7,8,0,18,2,0,66,"x",0.00387596899224806,0.00387596899224806,0.00387596899224806,0.0193798449612403,0.0426356589147287,0.251937984496124,0.0348837209302326,0,0.0271317829457364,0,0.00775193798449612,0.0271317829457364,0.0310077519379845,0,0.0697674418604651,0.00775193798449612,0,0.255813953488372
"11","./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1780,372,"5;",5,"./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1780,372,"5;",5,0,0,0,0,9,2,2,14,23,101,8,0,8,8,4,16,7,0,42,4,0,70,"x",0.0241935483870968,0.00537634408602151,0.00537634408602151,0.0376344086021505,0.0618279569892473,0.271505376344086,0.021505376344086,0,0.021505376344086,0.021505376344086,0.010752688172043,0.043010752688172,0.0188172043010753,0,0.112903225806452,0.010752688172043,0,0.188172043010753
"12","./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",591,272,"5;04.24",5.33333,"./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",591,272,"5;04.24",5.33333,0,0,0,0,0,3,0,1,9,19,1,0,4,0,2,2,2,0,4,0,0,13,"x",0,0.0110294117647059,0,0.00367647058823529,0.0330882352941176,0.0698529411764706,0.00367647058823529,0,0.0147058823529412,0,0.00735294117647059,0.00735294117647059,0.00735294117647059,0,0.0147058823529412,0,0,0.0477941176470588
