,sent_id,sentence,Proportion1erePersonne,Proportion2emePersonne,Proportion3emePersonne,ProportionSingulier,ProportionPluriel
0,0,"oui .
donc voilà une maison avec des personnages des animaux et d'autres objets .
donc j'aimerais que vous jouiez ensemble en iimaginant une histoire donc vous avez environs vingt minutes .",50.0,50.0,0.0,50.0,50.0
1,1,vous vous inquiétez pas pour le temps .,50.0,50.0,0.0,50.0,50.0
2,2,"je vous avertiriai quelques minutes avant la fin .
voilà vous pouvez commencer !",50.0,50.0,0.0,50.0,50.0
3,3,on va commencer à mettre les les pièces ouais ?,50.0,50.0,0.0,50.0,50.0
4,4,ça c'est quoi à ton avis ?,50.0,50.0,0.0,50.0,50.0
5,5,ah ça sera sur ce lit .,50.0,50.0,0.0,50.0,50.0
6,6,"Nnh@o .
nan xxx !",50.0,50.0,0.0,50.0,50.0
7,7,soit sur le grand lit ou là ?,50.0,50.0,0.0,50.0,50.0
8,8,"euh .
la table à langer .
ah là y a encore regarde .",50.0,50.0,0.0,50.0,50.0
9,9,si ça va avec .,50.0,50.0,0.0,50.0,50.0
10,10,ça c'est la couette comme ça le bonhomme il va là .,50.0,50.0,0.0,50.0,50.0
11,11,"c'est ici .
ensuite .
vas-y met .
un petit lit .",50.0,50.0,0.0,50.0,50.0
12,12,"Le bébé on va le mettre où ?
bah dans son berceau .",50.0,50.0,0.0,50.0,50.0
13,13,ici ?,50.0,50.0,0.0,50.0,50.0
14,14,il est dans son berceau là .,50.0,50.0,0.0,50.0,50.0
15,15,"Eh bah on va mettre la table à langer là alors .
bébé où es-tu ?",50.0,50.0,0.0,50.0,50.0
16,16,ah nan y en a deux en plus !,50.0,50.0,0.0,50.0,50.0
17,17,"oh c'est chaud ça .
oups .",50.0,50.0,0.0,50.0,50.0
18,18,deux bébés euh un dodo .,50.0,50.0,0.0,50.0,50.0
19,19,"tiens là il y a encore une couette pour un lit on met ça là comme ça ..?
encore un petit lit .",50.0,50.0,0.0,50.0,50.0
20,20,encrore un lit !,50.0,50.0,0.0,50.0,50.0
21,21,y en a pleins des lits !,50.0,50.0,0.0,50.0,50.0
22,22,"c'est des jumelles là .
ah oui .",50.0,50.0,0.0,50.0,50.0
23,23,"Elles ont xxx .
alors on a un landau pour mettre un bébé ...
ah tiens regarde il y a la poussette pour mettre bébé .
ah oui .",50.0,50.0,0.0,50.0,50.0
24,24,"là voilà xxx pour le lit .
xxx .
voilà .",50.0,50.0,0.0,50.0,50.0
25,25,on finit de mettre en place et puis après on commence ?,50.0,50.0,0.0,50.0,50.0
26,26,samuel ?,50.0,50.0,0.0,50.0,50.0
27,27,"oui .
tiens là il y a encore un lit .",50.0,50.0,0.0,50.0,50.0
28,28,"le papa il ...
c'est le papa qui va promener ou la maman ?",50.0,50.0,0.0,50.0,50.0
29,29,tiens la maman elle a les cheveux long la maman .,50.0,50.0,0.0,50.0,50.0
30,30,"le papa .
bah déjà faut savoir que le truc il roule .",50.0,50.0,0.0,50.0,50.0
31,31,"bah ouais c'est une poussette .
tatadata ah pardon !",50.0,50.0,0.0,50.0,50.0
32,32,Viens on fait on continue de mettre tout et puis après on ira faire la promenade .,50.0,50.0,0.0,50.0,50.0
33,33,"mais attend xxx oh c'est chiant .
han@o !",50.0,50.0,0.0,50.0,50.0
34,34,comment on met les bébés là dedans ?,50.0,50.0,0.0,50.0,50.0
35,35,"ouais comme ça .
comment ça se met ?",50.0,50.0,0.0,50.0,50.0
36,36,allez il y en a un qui est en train de tomber .,50.0,50.0,0.0,50.0,50.0
37,37,"là il y a encore une petite poussette pour la petite fille .
ah le landau on le met en haut le landau ?",50.0,50.0,0.0,50.0,50.0
38,38,"oui .
on mettra les deux bébés dans le même landau .",50.0,50.0,0.0,50.0,50.0
39,39,"nan il y en a un qui va rentrer ...
bah ouais mais ...
alors on le met dans un lit du grand le deuxième .
oh cool !",50.0,50.0,0.0,50.0,50.0
40,40,Il doit être plus grand .,50.0,50.0,0.0,50.0,50.0
41,41,"il a de la chance //.
oh nan j'ai perdu le volant !",50.0,50.0,0.0,50.0,50.0
42,42,oh le bébé il a sursauté il a eu peur .,50.0,50.0,0.0,50.0,50.0
43,43,"voilà .
tiens là ça à mon avis c'est pour une poupée ou un nounours on va mettre le nounours dedans ?",50.0,50.0,0.0,50.0,50.0
44,44,tiens tu continues à mettre dans la maison ?,50.0,50.0,0.0,50.0,50.0
45,45,"mais nan han@o ...
là c'est une chaise haute .
wahoo@o //.
oh nan elle promène les chats !",50.0,50.0,0.0,50.0,50.0
46,46,garde y a pleins de chats !,50.0,50.0,0.0,50.0,50.0
47,47,"on peut mettre les chats sinon .
y a pleins de chats .",50.0,50.0,0.0,50.0,50.0
48,48,"tiens regarde j'ai mis j'ai mis commencé à mettre la salle à manger avec la chaise pour le bébé .
ah zut elle va pas pouvoir supporter tous les chats .
et ça ..?
^ ah ça c'est un sac .",50.0,50.0,0.0,50.0,50.0
49,49,"^ et ça c'est quoi ça là ?
^ Une cheminée ?",50.0,50.0,0.0,50.0,50.0
50,50,"Nan .
y a déjà une cheminée regarde .",50.0,50.0,0.0,50.0,50.0
51,51,on va mettre ça ici pour faire la cuisine .,50.0,50.0,0.0,50.0,50.0
52,52,Une poubelle une poubelle !,50.0,50.0,0.0,50.0,50.0
53,53,c'est une poubelle ?,50.0,50.0,0.0,50.0,50.0
54,54,bon on va être bon //.,50.0,50.0,0.0,50.0,50.0
55,55,sinon ça peut aussipeut-être prêt pour la cuisine .,50.0,50.0,0.0,50.0,50.0
56,56,ah nan c'est un four !,50.0,50.0,0.0,50.0,50.0
57,57,avec un four voilà .,50.0,50.0,0.0,50.0,50.0
58,58,c'est un four regarde la plaque là haut où on met dedans le charbon .,50.0,50.0,0.0,50.0,50.0
59,59,alors vas-y mets-le dans la cuisine comme ça je vais mettre la casserole ensuite .,50.0,50.0,0.0,50.0,50.0
60,60,tu mets la casserole toi ?,50.0,50.0,0.0,50.0,50.0
61,61,nan nan tu la mets dans la cheminée mets-le là !,50.0,50.0,0.0,50.0,50.0
62,62,allez hop .,50.0,50.0,0.0,50.0,50.0
63,63,Voilà .,50.0,50.0,0.0,50.0,50.0
64,64,ça prend forme .,50.0,50.0,0.0,50.0,50.0
65,65,ça c'est quoi ?,50.0,50.0,0.0,50.0,50.0
66,66,^ c'est pour la chaise haute ?,50.0,50.0,0.0,50.0,50.0
67,67,"allez un chacun ...
c'est un cartable .
ah d'accord !",50.0,50.0,0.0,50.0,50.0
68,68,t'es chiant Tito /.,50.0,50.0,0.0,50.0,50.0
69,69,"c'est un cartable ...
à chaque fois tu gueules .",50.0,50.0,0.0,50.0,50.0
70,70,on va le mettre là sur le lit Ah nan ça ça va pas .,50.0,50.0,0.0,50.0,50.0
71,71,"il miaule il en a il quand il en a marre il miaule ...
tiens on va mettre sur le lit le cartable hop .
ah ça tient pas .",50.0,50.0,0.0,50.0,50.0
72,72,après c'est un peu énervant !,50.0,50.0,0.0,50.0,50.0
73,73,"alors t'as mis le chat là-bas .
^ voilà .",50.0,50.0,0.0,50.0,50.0
74,74,mais nan c'est pas enervant .,50.0,50.0,0.0,50.0,50.0
75,75,le petit nounours pour la petite euh fille qui va euh promener son petit nounours .,50.0,50.0,0.0,50.0,50.0
