,sent_id,sentence,DiversitéLemmes,ProportionsVerbes,ProportionNoms,ProportionsAdjectif,ProportionClitiques,ProportionStopWords,ProportionSymboles,RapportPonctuationSurMots,ProportionAdvTemp,ProportionVerbeEtat,PropAddition,PropBut,PropCause,PropComparaison,PropConcession,PropConclusion,PropCondition,PropConsequence,PropEnumeration,PropExplication,PropIllustration,PropJustification,PropOpposition,PropRestriction,PropExclusion,PropTemps
0,0,"oui .
donc voilà une maison avec des personnages des animaux et d'autres objets .
donc j'aimerais que vous jouiez ensemble en iimaginant une histoire donc vous avez environs vingt minutes .",26,0.12121212121212122,0.21212121212121213,0.0,0.0,0.5151515151515151,4.424242424242424,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,vous vous inquiétez pas pour le temps .,6,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857143,4.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,"je vous avertiriai quelques minutes avant la fin .
voilà vous pouvez commencer !",10,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,4.916666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,on va commencer à mettre les les pièces ouais ?,8,0.3333333333333333,0.1111111111111111,0.0,0.0,0.3333333333333333,4.222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,ça c'est quoi à ton avis ?,7,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,ah ça sera sur ce lit .,6,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,2.8333333333333335,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,"Nnh@o .
nan xxx !",1,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,soit sur le grand lit ou là ?,7,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,3.142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,"euh .
la table à langer .
ah là y a encore regarde .",1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,si ça va avec .,4,0.25,0.0,0.0,0.0,0.75,3.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,ça c'est la couette comme ça le bonhomme il va là .,10,0.08333333333333333,0.16666666666666666,0.0,0.0,0.75,3.6666666666666665,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
11,11,"c'est ici .
ensuite .
vas-y met .
un petit lit .",7,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,4.285714285714286,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,"Le bébé on va le mettre où ?
bah dans son berceau .",10,0.18181818181818182,0.18181818181818182,0.0,0.0,0.45454545454545453,3.8181818181818183,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,ici ?,1,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,il est dans son berceau là .,6,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,3.8333333333333335,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,"Eh bah on va mettre la table à langer là alors .
bébé où es-tu ?",11,0.18181818181818182,0.18181818181818182,0.0,0.0,0.36363636363636365,3.6363636363636362,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,ah nan y en a deux en plus !,7,0.125,0.0,0.0,0.0,0.375,3.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,"oh c'est chaud ça .
oups .",6,0.0,0.0,0.0,0.0,0.5,3.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,deux bébés euh un dodo .,5,0.2,0.4,0.0,0.0,0.4,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,"tiens là il y a encore une couette pour un lit on met ça là comme ça ..?
encore un petit lit .",15,0.14285714285714285,0.14285714285714285,0.0,0.0,0.6190476190476191,3.7142857142857144,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
20,20,encrore un lit !,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,4.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,y en a pleins des lits !,6,0.0,0.16666666666666666,0.0,0.0,0.5,3.1666666666666665,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,"c'est des jumelles là .
ah oui .",7,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,3.2857142857142856,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,"Elles ont xxx .
alors on a un landau pour mettre un bébé ...
ah tiens regarde il y a la poussette pour mettre bébé .
ah oui .",17,0.28,0.16,0.0,0.0,0.44,4.2,0.16,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,"là voilà xxx pour le lit .
xxx .
voilà .",6,0.25,0.375,0.0,0.0,0.375,3.75,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,on finit de mettre en place et puis après on commence ?,10,0.2727272727272727,0.09090909090909091,0.0,0.0,0.18181818181818182,4.090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,samuel ?,1,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
