d'accord zə vais pas me tomber regarde regarde la lumière elle est cassée ..
petit papa+noël quand tu descendras du ciel avec tes jouets par milliers ..
mais non j' a pas un pyjama rose j' a un pyjama ..
et après tu redescends et tu pars et tu fais attention d'accord ..
z a pas la pas un pyjama lapin là ..
un deux trois six sept huit neuf dix onze ..
regarde ses bras ils sont pas ses bras hein ..
marche pas sur le loup tu vas le casser ..
et après zə vais redescendre viens avec moi Aliyah ..
une pomme de terre z a dessiné moi ..
regarde que elle a fait la petite sorcière ..
regarde il le fait des caresses le bébé ..
moi zə zə veux dormir dans mon dodo ..
moi z arrive à mettre mes chaussons là ..
mes pieds et moi zə mets mes bras ..
mais z a pas mis mon truc là ..
mais avant+de partir il faudra bien te couvrir ..
je vas se l' assis sur sa chaise ..
je vais le mettre au dodo mon bébé ..
et regarde dans l' eau y+a le crocodile ..
