maman maman y avait c'est Léonard c'est son ami yy .
y+a des lions pas beau parce+que a peut des
où elle est où elle est mon assiette .
où elle est ça c'est la voiture .
la voiture elle est dans la cache+cache .
et les bébés i sont cachés hein !
e veux faire le docteur au lapin .
y+a pas la craie la crèche .
peut peut les manger comme ça .
parce+que il a la tête cachée .
où elle est le truc rouge .
où elle est l' assiette rouge .
mais pourquoi a pas de thé ?
là c'est lapin lapin lapin lapin .
il s' appelle Everest le papa .
et pourquoi la bête est morte .
est ça pas dans et ça .
donner la photo avec des fleurs .
ah oui ça l' est gros .
a les ramener à la maison .
