fichier-colaje-lg20	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/ADRIEN-01-1_03_09.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	4	2	1;3.9	1.25	2	1.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-02-1_04_10.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	7	5	1;4.10	1.33333	5	1.200000	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-06-1_09_08.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	1	1	1;9.8	1.75	1	1.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-08-1_11_14.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	28	18	1;11.14	1.91667	18	1.500000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-09-2_00_15.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	21	20	2;0.15	2	20	1.050000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-10-2_01_12.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	41	20	2;1.12	2.08333	20	1.300000	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	x
./conllu_clan/ADRIEN-11-2_02_00.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	45	20	2;2.	2.16667	20	1.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-12-2_02_22.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	68	20	2;2.22	2.16667	20	2.750000	0	0	0	0	0	3	0	2	0	0	4	0	0	2	0	0	0	0	0	1	2	1	x
./conllu_clan/ADRIEN-13-2_03_28.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	78	20	2;3.28	2.25	20	2.850000	0	0	0	0	0	2	1	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	x
./conllu_clan/ADRIEN-14-2_04_26.20pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	104	20	2;4.26	2.33333	20	3.300000	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	x
