fichier-colaje-lg20	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/ADRIEN-01-1_03_09.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	5	2	1;02.11	1.16667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-02-1_04_10.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	9	5	1;03.18	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-06-1_09_08.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	2	1	1;08.11	1.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-08-1_11_14.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	29	18	1;10.23	1.83333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-09-2_00_15.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	28	20	2;	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-10-2_01_12.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	44	20	2;01.06	2.08333	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	x
./ttg_perceo_clan/ADRIEN-11-2_02_00.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	48	20	2;01.06	2.08333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-12-2_02_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	103	20	2;02.12	2.16667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	x
./ttg_perceo_clan/ADRIEN-13-2_03_28.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	93	20	2;03.17	2.25	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-14-2_04_26.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	155	20	2;04.23	2.33333	0	0	0	0	1	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ADRIEN-15-2_05_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	147	20	2;04.23	2.33333	0	0	0	0	3	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ADRIEN-16-2_07_18.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	135	20	2;07.05	2.58333	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ADRIEN-17-2_08_12.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	130	20	2;08.11	2.66667	0	0	0	0	6	2	0	0	0	4	0	0	0	0	5	1	0	0	0	0	0	6	x
