[CHI] <au0> yyy yyy yyy ah se assiette Ael !
[CHI] <au1> yyy yyy yyy yyy yyy yy !
[CHI] <au2> yyy yyy yyy yyy yyy yy !
[CHI] <au3> bébés i vont plus là yy .
[CHI] <au4> Omer yyy yyy yyy pousser yy .
[CHI] <au5> yyy yyy yyy yyy yy .
[CHI] <au6> yyy yyy yyy yyy yy !
[CHI] <au7> va faire le yyy puzzle .
[CHI] <au8> il est là a nez !
[CHI] <au9> edr vnbbhijnjj  ikkkju voilà !
[CHI] <au10> œ yyy a maman !
[CHI] <au11> yyy yyy ɛ belle !
[CHI] <au12> yyy yyy yyy yy ?
[CHI] <au13> yyy yyy yyy yy ?
[CHI] <au14> yyy yyy yyy yy .
[CHI] <au15> yyy yyy yyy yy .
[CHI] <au16> yyy yyy yyy yy !
[CHI] <au17> yyy xxx yyy yy !
[CHI] <au18> yyy appuie yyy yy !
[CHI] <au19> xxx yyy xxx maman !
