[CHI] <au0> yyy wouah wouah !
[CHI] <au1> xxx wouah wouah !
[CHI] <au2> oh miam miam !
[CHI] <au3> œ wouah wouah !
[CHI] <au4> miam miam miam !
[CHI] <au5> miam miam miam !
[CHI] <au6> les wouah wouah !
[CHI] <au7> hum hum maman ?
[CHI] <au8> a miam miam !
[CHI] <au9> yyy yy ..
[CHI] <au10> yyy yy !
[CHI] <au11> xxx ouh !
[CHI] <au12> wouah wouah ?
[CHI] <au13> wouah wouah ?
[CHI] <au14> wouah wouah !
[CHI] <au15> vroum vroum ?
[CHI] <au16> vroum vroum !
[CHI] <au17> vroum vroum !
[CHI] <au18> vroum vroum !
[CHI] <au19> petit petit ..
