[CHI] <au0> ah ah ah ah ah !
[CHI] <au1> ah ah ah ah ah !
[CHI] <au2> eu papy a vroumvroum !
[CHI] <au3> e kiki e kiki !
[CHI] <au4> e clés e clés !
[CHI] <au5> ah oh mes clés .
[CHI] <au6> a veux les kiki !
[CHI] <au7> veux les kiki !
[CHI] <au8> oh oh na !
[CHI] <au9> oh mes kikik !
[CHI] <au10> miam miam yy !
[CHI] <au11> ma e clés .
[CHI] <au12> les clés hum .
[CHI] <au13> et mes clés .
[CHI] <au14> e boum poum .
[CHI] <au15> ah ah xx !
[CHI] <au16> ah ah ah !
[CHI] <au17> ah a toto !
[CHI] <au18> a veux vroumer .
[CHI] <au19> ɛ̃ kiki !
