"","note","sentence","pluriels_phrase_nombre_pluriels_sentence","parties_du_discours_phrase_proportion_SCONJ_sentence","connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence","connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence","parties_du_discours_phrase_proportion_INTJ_sentence","connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence","connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence","graphie_phrase_variance_longueur_mots_sentence","pronoms_phrase_nombre_pronoms_indefinis_sentence","dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence","adverbiaux_temporels_phrase_nombre_adverbiaux_temporels_sentence","adverbiaux_temporels_phrase_proportion_adverbiaux_temporels_sentence","dependances_syntaxiques_phrase_point_distance_moyenne_sentence","pluriels_phrase_proportion_pluriels_sentence","pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence","structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence","structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence","flexions_verbales_phrase_proportion_flexions_pluriel_sentence","pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence","parties_du_discours_phrase_proportion_ADV_sentence","parties_du_discours_phrase_proportion_CCONJ_sentence","flexions_verbales_phrase_diversite_systemes_temps_sentence","pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence","connecteurs_organisateurs_phrase_nombre_additifs_et_integration_lineaire_sentence","connecteurs_organisateurs_phrase_proportion_additifs_et_integration_lineaire_sentence","pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence","emotions_phrase_score_de_subjectitvite_sentence","emotions_phrase_score_de_polarite_sentence","connecteurs_organisateurs_phrase_nombre_argumentatifs_et_concessifs_sentence","connecteurs_organisateurs_phrase_proportion_argumentatifs_et_concessifs_sentence"
"1","10","tu peux nous dire comment elle s'ouvre?
regarde regarde!","0.027027027027027",NA,NA,NA,NA,NA,NA,NA,NA,"0.841558441596378",NA,NA,"0.403999919845859",NA,"0.1499999999925","0.222222222222222","0.222222222222222",NA,"0.3333333333",NA,NA,"0.333333333333333","0.25",NA,NA,"0.1",NA,NA,NA,NA
"2","9","alors euh c'est moi qui dis hein euh qui dis.",NA,NA,NA,NA,"0.1818181818","0.2","0.2","0.160482877126714","0.111111111111111","0.857142857128163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.0909090909",NA,NA,NA,NA
"3","5","je vais sortir.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111","0.111111111111111",NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.3333333333",NA,NA,NA,NA
"4","6","oui on va réinstaller d'accord.",NA,NA,NA,NA,"0.1666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111","0.111111111111111",NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.01","0.01",NA,NA
"5","5","euh alors mettre comme ça.",NA,NA,NA,NA,"0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"6","6","alors toi tu installes la poussette là dans le coin là.",NA,NA,NA,NA,NA,"0.2","0.2","0.151977858818106",NA,"0.857142857128163",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2727272727",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"7","7","oui pour dire euh c'est la chambre des bébés.","0.0540540540540541",NA,NA,NA,"0.1818181818",NA,NA,"0.157863187942808",NA,NA,NA,NA,NA,"0.1818181818",NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.01","0.01",NA,NA
"8","7","on veut peut être plutôt échanger avec là là.",NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111","0.822857142875951",NA,NA,"0.345644375860443",NA,NA,"0.222222222222222","0.222222222222222",NA,NA,"0.3333333333",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"9","9","parce que là y a pl- ça fait plus de chambre de bébé.",NA,"0.0769230769","0.2","0.2",NA,NA,NA,"0.195384292725644",NA,"0.881632653037295",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3076923077",NA,"0.333333333333333",NA,NA,NA,NA,"0.15","0.15",NA,NA
"10","3","ben je trouve.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.3333333333",NA,NA,NA,NA
