"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"126","adverbiaux_temporels_texte_proportion_adverbiaux_loc_temp_focalisation_id_text","0.620115546219118","0.48944960653892","0","2","0.875","0","1","0.0385143716967206","0.251557026104262"
"15","niveau_lexical_texte_proportion_niveau_11_text","0.502958306710294","0.0501334789388463","0.4343065693","0.7083333333","0.491308958","0.46880477652","0.53368467798","0.0401400946492103","0.249552552917269"
"251","modalite_texte_proportion_marqueurs_niveau1_text","0.0808823529397059","0.218339594035631","0","1","0","0","0","0.0402293342788744","0.249444484921045"
"16","niveau_lexical_texte_niveau_scolaire_moyen_text","7.22723561063088","0.371336862272631","6.5930656934","8.6666666667","7.1527483235","6.94160632598","7.47472527472","0.0461195961076334","0.24271443497381"
"52","parties_du_discours_texte_proportion_ADP_text","0.0810869039705882","0.0279229102727688","0.029925187","0.1666666667","0.0727621038","0.05837340364","0.10270958778","0.0537472077448616","0.234979597401829"
"59","parties_du_discours_texte_proportion_NUM_text","0.00652503067794118","0.0128480866894703","0","0.0781893004","0.00178260325","0","0.00931584738","0.0537693024755248","0.234958535418795"
"200","metaphores_texte_proportion_metaphores_min_2_mots_text","0.00154904813235294","0.00861015621289197","0","0.0625","0","0","0","0.0582931429281549","0.230787476441429"
"205","modalite_texte_nombre_boulique_text","0.102941176470588","0.351529955936878","0","2","0","0","0","0.0734300786265906","0.21850692710409"
"265","modalite_texte_proportion_boulique_niveau3_text","0.0588235294117647","0.237043540378384","0","1","0","0","0","0.0804138276409342","0.213517523326232"
"225","modalite_texte_nombre_boulique_niveau3_text","0.0735294117647059","0.314627307151841","0","2","0","0","0","0.0878665111897285","0.208559053446338"
