"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"126","adverbiaux_temporels_texte_proportion_adverbiaux_loc_temp_focalisation_id_text","0.827813852815152","0.411283230222615","0","2","1","0.5","1","0.0113634653294438","0.435215459245632"
"15","niveau_lexical_texte_proportion_niveau_11_text","0.4780140735","0.026340455613467","0.4343065693","0.5526116578","0.4737762238","0.45514168212","0.49901379894","0.0129670697496725","0.427989086841618"
"50","flexions_verbales_texte_proportion_flexions_pluriel_text","13.0852169053333","4.67689695604309","5.5555555556","21.0191082803","13.0281690141","8.71739130434","17.51031224798","0.0288015272204649","0.380782516476173"
"130","adverbiaux_temporels_texte_proportion_adverbiaux_loc_temp_regionalisation_id_text","0.956770081772727","0.355314487929693","0","2","1","1","1","0.0353004829029427","0.367648089763903"
"198","propositions_subordonnees_texte_proportion_subordonnees_gerondif_text","0.00176940285454545","0.00337997774877559","0","0.0105820106","0","0","0.00411199192","0.0406908904277512","0.358171586031781"
"47","flexions_verbales_texte_proportion_flexions_2e_personne_text","12.4961746407818","5.78466205797238","4.5454545455","26.9230769231","11.2903225806","6.9401978417","16.63101604276","0.0441115492583767","0.352671611533552"
"251","modalite_texte_proportion_marqueurs_niveau1_text","0.141414141412121","0.286020383771078","0","1","0","0","0.3333333333","0.0467976300455466","0.348587891078469"
"16","niveau_lexical_texte_niveau_scolaire_moyen_text","7.05040918606061","0.225834484231517","6.5930656934","7.7214231643","7.0192307692","6.8879998321","7.2343643199","0.0702835178670215","0.31910309624756"
"133","adverbiaux_temporels_texte_proportion_adverbiaux_loc_temp_pointage_non_absolu_text","0.909090909090909","0.291937104060571","0","1","1","1","1","0.0810309814000478","0.308160877033214"
"202","modalite_texte_nombre_alethique_text","0.606060606060606","0.863835702672749","0","3","0","0","1","0.103119012783984","0.288784971337052"
"2","graphie_texte_variance_frequence_lettres_text","0.35856092230303","0.137977926096749","0.1973251305","0.8201476407","0.338802058","0.2461173473","0.43326526778","0.105195642795901","0.287131741964597"
"1","graphie_texte_frequence_lettres_moyenne_text","0.0181588207181818","0.00682446117906095","0.0098206094","0.0405818858","0.0172687013","0.0122781556","0.0221548369","0.114034450541132","0.280358205576402"
