"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"52","parties_du_discours_texte_proportion_ADP_text","0.0991068694142857","0.0267794906991999","0.0505836576","0.1666666667","0.1","0.07278300246","0.12363013696","0.0134152185174354","0.414027678929559"
"199","metaphores_texte_nombre_metaphores_min_2_mots_text","0.0571428571428571","0.235504107976803","0","1","0","0","0","0.0353819988300863","0.356792686376454"
"200","metaphores_texte_proportion_metaphores_min_2_mots_text","0.00277093596","0.0119146198223284","0","0.0625","0","0","0","0.0385115426302387","0.35130870872772"
"28","flexions_verbales_texte_proportion_ind.cond_text","0.160193109502857","0.668109654881217","0","3.2258064516","0","0","0","0.0677393119651746","0.312341966060099"
"59","parties_du_discours_texte_proportion_NUM_text","0.00697259675142857","0.0172666419104564","0","0.0781893004","0","0","0.00391240158","0.109349663953577","0.275378030015748"
"181","connecteurs_organisateurs_texte_proportion_explicatifs_et_justificatifs_text","0.0286829854971429","0.0539054024103645","0","0.25","0","0","0.04589371984","0.119102263018121","0.268330912885398"
"205","modalite_texte_nombre_boulique_text","0.171428571428571","0.45281565433046","0","2","0","0","0","0.129319526962163","0.261396448835401"
"16","niveau_lexical_texte_niveau_scolaire_moyen_text","7.39395766808286","0.405910873868623","6.9225092251","8.6666666667","7.2489451477","7.04726631392","7.79585813496","0.13456251517075","0.257994820718257"
"225","modalite_texte_nombre_boulique_niveau3_text","0.114285714285714","0.403763804821623","0","2","0","0","0","0.167946972442921","0.238346165416804"
"15","niveau_lexical_texte_proportion_niveau_11_text","0.526477155165714","0.0559149616340942","0.4615384615","0.7083333333","0.5090909091","0.47493189592","0.57088573724","0.172408356798169","0.235940782466296"
"265","modalite_texte_proportion_boulique_niveau3_text","0.0857142857142857","0.284028640998691","0","1","0","0","0","0.181026747403809","0.231416912549037"
"245","modalite_texte_proportion_boulique_text","0.0189874411314286","0.0477406176088633","0","0.1538461538","0","0","0","0.193862130484085","0.224953761728907"
"58","parties_du_discours_texte_proportion_NOUN_text","0.154027523648571","0.0392864446125282","0.0856031128","0.2666666667","0.1458333333","0.1180380107","0.18331043956","0.200118344058553","0.221911935440866"
"254","modalite_texte_proportion_alethique_niveau2_text","0.0666666666657143","0.239825644727077","0","1","0","0","0","0.224216840332586","0.210775860808866"
"187","propositions_subordonnees_texte_nombre_subordonnees_type_savoir_que_text","0.142857142857143","0.429969707746757","0","2","0","0","0","0.247797800000038","0.20064383356777"
"191","propositions_subordonnees_texte_nombre_subordonnees_type_croire_que_present_text","0.142857142857143","0.429969707746757","0","2","0","0","0","0.247797800000038","0.20064383356777"
