"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"219","modalite_texte_nombre_appreciatif_niveau1_text","8.16666666666667","5.99264254781498","1","22","7","3","12","0.00168142978732746","0.685714335075871"
"223","modalite_texte_nombre_axiologique_niveau1_text","5.38888888888889","3.83695481107378","1","13","5","2","8.6","0.00404468220377349","0.642365299930396"
"217","modalite_texte_nombre_appreciatif_niveau3_text","29.3333333333333","23.8302822673416","10","87","17","13","43.4","0.00429423498318374","0.639152413492403"
"203","modalite_texte_nombre_appreciatif_text","63.3333333333333","39.1242365082431","23","162","50","35","94","0.00483927122890942","0.632633289979016"
"221","modalite_texte_nombre_axiologique_niveau3_text","22.7777777777778","20.2819988443985","3","67","13","7","40.2","0.0055602032174302","0.624873021860405"
"204","modalite_texte_nombre_axiologique_text","35.5","25.8735613410792","12","91","24","16","53.6","0.00649372061147341","0.615957528732716"
"150","emotions_texte_culpabilite_text","1.62967333333333e-05","6.91411839071331e-05","0","0.0002933412","0","0","0","0.00808217714291848","0.602931028512707"
"155","emotions_texte_empathie_text","1.62967333333333e-05","6.91411839071331e-05","0","0.0002933412","0","0","0","0.00808217714291848","0.602931028512707"
"210","modalite_texte_nombre_marqueurs_niveau2_text","43.1666666666667","18.1667116387283","17","90","43.5","27.4","55.2","0.0114970852052693","0.580748896187921"
"211","modalite_texte_nombre_marqueurs_niveau1_text","50.3888888888889","33.5000243878557","8","139","41.5","23.4","73.6","0.012491825208587","0.57529613020711"
"287","dependances_syntaxiques_texte_variance_nombre_dependances_text","10651.5741691659","8283.18240376353","2495.7704820889","29059.745136824","7634.3610119143","4394.41183159404","15349.4809666004","0.0144200963262427","0.565644060880772"
"180","connecteurs_organisateurs_texte_nombre_explicatifs_et_justificatifs_text","29.5","23.9441752710709","7","86","21","11.4","42.4","0.0144440208285066","0.565530933777424"
"206","modalite_texte_nombre_deontique_text","31.0555555555556","24.6802426869139","6","93","24","13.6","46.6","0.0189411109969578","0.546499971437793"
"215","modalite_texte_nombre_alethique_niveau1_text","39.5555555555556","26.4446641392533","5","111","34","19","58.2","0.0194522785214295","0.544571172893585"
"9","niveau_lexical_texte_proportion_niveau_5_text","0.0735066653444444","0.00819416521410598","0.0594451783","0.08698941","0.0723807553","0.06622946776","0.08055481094","0.0207066531358101","0.540001691396761"
"229","modalite_texte_nombre_deontique_niveau3_text","29.6666666666667","23.867280088513","6","89","23","13.2","46.6","0.0210858529990178","0.538663227117206"
"201","modalite_texte_nombre_marqueurs_text","329.277777777778","152.816231643091","154","684","294","195","425.6","0.0223135211601303","0.534455629071015"
"202","modalite_texte_nombre_alethique_text","127.666666666667","64.5491149071319","57","266","117.5","71.2","156.2","0.0231123156663035","0.531814405012087"
"181","connecteurs_organisateurs_texte_proportion_explicatifs_et_justificatifs_text","0.0727981621166667","0.0366499410582079","0.0266159696","0.1391585761","0.06225941365","0.03985274354","0.09907238714","0.0261593624601752","0.522351722736053"
"103","adverbiaux_temporels_texte_nombre_adverbiaux_loc_temp_focalisation_id_text","10.6666666666667","10.9919756828227","0","39","8.5","2.2","16.6","0.0270646237471138","0.519706751581824"
"286","dependances_syntaxiques_texte_nombre_moyen_dependances_text","191.549878929044","77.0260645967288","103.8329223181","340.5727638769","167.03604631425","123.07062832518","250.32075376164","0.0294434124776036","0.513070291540866"
"244","modalite_texte_proportion_axiologique_text","0.00991870063888889","0.00374524811230484","0.0047520048","0.0169532574","0.00915258905","0.00658416562","0.01384924796","0.0295631532207583","0.512747395894008"
"96","adverbiaux_temporels_texte_nombre_adverbiaux_localisation_temporelle_text","11.0555555555556","11.8791573390105","0","43","7.5","2.2","16.8","0.0297471183188357","0.512253280972148"
"110","adverbiaux_temporels_texte_nombre_adverbiaux_loc_temp_pointage_non_absolu_text","11.0555555555556","11.8791573390105","0","43","7.5","2.2","16.8","0.0297471183188357","0.512253280972148"
"107","adverbiaux_temporels_texte_nombre_adverbiaux_loc_temp_regionalisation_id_text","11.6111111111111","12.1565227656445","0","43","9","2.2","17.4","0.0345785046685515","0.500050491468314"
"209","modalite_texte_nombre_marqueurs_niveau3_text","200.666666666667","98.9854415914726","94","410","185.5","113","259.4","0.0391637736396139","0.489630273951157"
"41","flexions_verbales_texte_proportion_temps_compose_text","85.9184270552111","3.51775946060563","79.4520547945","92.8431372549","85.71034042815","82.99066935476","88.55130439924","0.0406427220829607","0.486469385798535"
"243","modalite_texte_proportion_appreciatif_text","0.0185798757166667","0.00551397484678255","0.0098010098","0.028013142","0.0179517723","0.01373284638","0.02380255674","0.0407193208347795","0.486308085766685"
"214","modalite_texte_nombre_alethique_niveau2_text","8.88888888888889","6.33281731643971","2","24","8","4.4","10.6","0.0457451929077743","0.476196750069884"
"218","modalite_texte_nombre_appreciatif_niveau2_text","25.8333333333333","11.5872648145433","8","53","25","18.4","31.8","0.0507318258784115","0.466967073017679"
"39","flexions_verbales_texte_present_text","78.6507378935556","7.05207749219603","62.3960066556","87.6404494382","80.7764064294","74.412127334","82.84245142004","0.0522832388250629","0.464235986860241"
"119","adverbiaux_temporels_texte_proportion_adverbiaux_localisation_temporelle_text","0.385484853416667","0.217130766901564","0","0.7678571429","0.38","0.2142857143","0.53111954458","0.0574718689691534","0.455523789660068"
"4","graphie_texte_variance_longueur_mots_text","2918.77236363171","1403.82847379527","1350.9897190582","6150.9979264987","2564.99478980845","1716.19208998714","3592.19621292022","0.0593527899006355","0.452511423983616"
"172","connecteurs_organisateurs_texte_nombre_illustration_et_exemplification_text","15","13.2265330480284","3","44","9.5","6","23.4","0.0718593916064822","0.434107870065008"
"298","structures_syntaxiques_texte_nombre_subordonnees_completives_text","87.8333333333333","52.2913219658977","33","218","74.5","40","126.8","0.0757254179343168","0.428903160270491"
"259","modalite_texte_proportion_appreciatif_niveau1_text","0.124967208594444","0.0526870967168924","0.0303030303","0.2195121951","0.1220437956","0.07548138638","0.16946410518","0.0832585284585058","0.419298138920252"
"84","pronoms_texte_nombre_pronoms_indefinis_text","368.333333333333","195.507484436244","152","857","354","200","444.2","0.0871994847939065","0.414524696255286"
"86","pluriels_texte_nombre_pluriels_text","288.5","133.695109682221","113","623","271","168","391.4","0.0877593404942338","0.413859405118313"
"213","modalite_texte_nombre_alethique_niveau3_text","79.2222222222222","41.1490197947091","30","185","81.5","39","104","0.0902114165073689","0.41098136555376"
"207","modalite_texte_nombre_epistemique_text","124.166666666667","60.6283276830811","50","255","125.5","68.4","164","0.0918519398495769","0.409087420152685"
"233","modalite_texte_nombre_epistemique_niveau3_text","111.388888888889","52.8896063278631","43","221","100.5","63.2","150","0.0967667799934441","0.403556119220021"
"20","adjectifs_ordinaux_texte_nombre_adjectifs_ordinaux_text","3.38888888888889","4.31330211826145","0","13","2","0","5","0.0980962197533876","0.402094901617222"
"145","emotions_texte_amour_text","0.00384148687777778","0.00286650415703999","0.0004336513","0.0108267717","0.002743879","0.00179709714","0.0054208157","0.100684560404711","0.399290419886403"
"141","emotions_texte_score_de_polarite_text","0.0751493236444444","0.029294335883866","0.0173137019","0.1253443709","0.07565271985","0.05417839476","0.097684234","0.103435390509063","0.396366114988432"
"142","emotions_texte_score_de_subjectitvite_text","0.0751493236444444","0.029294335883866","0.0173137019","0.1253443709","0.07565271985","0.05417839476","0.097684234","0.103435390509063","0.396366114988432"
"235","modalite_texte_nombre_epistemique_niveau1_text","4.94444444444444","5.75450945650168","0","17","2.5","1.4","9.20000000000001","0.107792813045831","0.391845925889592"
"195","propositions_subordonnees_texte_nombre_subordonnees_avant_apres_text","1.27777777777778","2.13667018445154","0","7","0","0","2.2","0.112684353891418","0.386924523093389"
"300","structures_syntaxiques_texte_nombre_subordonnees_hypothetiques_text","11.4444444444444","9.70883298386046","1","35","9.5","3.4","17.6","0.122750293193217","0.377255648056781"
"22","flexions_verbales_texte_diversite_temps_verbaux_text","7.83333333333333","0.985184366143778","6","10","8","7","8.6","0.127576941486877","0.372817119836217"
"112","adverbiaux_temporels_texte_nombre_adverbiaux_iterateur_frequentiel_text","3.94444444444444","4.07968023865513","0","16","3","1","5.6","0.128488214967148","0.371992417978574"
"29","flexions_verbales_texte_proportion_inf._text","14.6885989445111","3.34545218859417","10","23.137254902","14.7379290699","11.64853449382","17.03910346936","0.129265999373831","0.371291761293623"
"230","modalite_texte_nombre_deontique_niveau2_text","1.38888888888889","1.7197431028701","0","5","0.5","0","3","0.133982774215451","0.367104718974579"
"176","connecteurs_organisateurs_texte_nombre_argumentatifs_et_concessifs_text","31.6111111111111","23.1698051196173","6","100","28","12","45.2","0.134321409277273","0.366808102456382"
"45","flexions_verbales_texte_proportion_infinitif_text","14.7020506528778","3.34628533104364","10","23.137254902","14.8589944452","11.64853449382","17.03910346936","0.134576588658312","0.366584930706928"
"8","niveau_lexical_texte_proportion_niveau_4_text","0.139563650666667","0.0152241794108532","0.1162483487","0.1584433634","0.14051788075","0.12326057912","0.15493450668","0.145765346195992","0.357076074534413"
"98","adverbiaux_temporels_texte_nombre_adverbiaux_purement_iteratifs_text","4.83333333333333","4.23222928323624","0","17","4","2","6","0.147933201346354","0.355292672617505"
"52","parties_du_discours_texte_proportion_ADP_text","0.0671082671611111","0.0139463411472241","0.0414560162","0.098683141","0.06704820715","0.05517631598","0.07882941464","0.164425747589957","0.342279894517865"
"246","modalite_texte_proportion_deontique_text","0.00876613987777778","0.00440426863653169","0.002245509","0.0180268764","0.0076009348","0.0053637472","0.01292957746","0.167282789885345","0.340117354685421"
"32","flexions_verbales_texte_proportion_ind.fut_ant_text","0.00544662309444444","0.0231080647478935","0","0.0980392157","0","0","0","0.168211489524963","0.339419805619564"
"28","flexions_verbales_texte_proportion_ind.cond_text","0.722185254261111","0.787355021868832","0","2.6737967914","0.44643746885","0","1.2697699349","0.17412695658899","0.335036711702486"
"95","adverbiaux_temporels_texte_nombre_adverbiaux_temporels_text","23.7222222222222","17.1971459860455","3","62","20.5","9.4","34","0.175877810643869","0.333758712901256"
"118","adverbiaux_temporels_texte_proportion_adverbiaux_temporels_text","23.7222222222222","17.1971459860455","3","62","20.5","9.4","34","0.175877810643869","0.333758712901256"
"23","flexions_verbales_texte_proportion_ind.pst_text","63.9621389490389","6.32339769027617","50.5823627288","75.2","64.51715567955","60.89072543618","67.55098039216","0.193572295861534","0.321297096607692"
"251","modalite_texte_proportion_marqueurs_niveau1_text","0.143611931411111","0.0403606147224723","0.0404040404","0.2032163743","0.1468889472","0.11885483448","0.18000204442","0.195915283794925","0.319704675069533"
"288","structures_passives_texte_nombre_structures_passives_text","7.05555555555556","5.13891980206212","1","17","6","2.4","11.6","0.20255120418831","0.315261723042625"
"11","niveau_lexical_texte_proportion_niveau_7_text","0.00392164926111111","0.00220625621727729","0","0.0090337785","0.0039693935","0.00287853944","0.00509115418","0.220500825037832","0.30370311212572"
"35","flexions_verbales_texte_proportion_cond.passe_text","0.207811781405556","0.612851073321242","0","2.6217228464","0","0","0.21439627606","0.221690941046261","0.302958719579418"
"242","modalite_texte_proportion_alethique_text","0.0382630707444444","0.00950515045037203","0.0242189392","0.0648095509","0.03733376315","0.03166153168","0.04424854778","0.228003451767749","0.29905289192157"
"102","adverbiaux_temporels_texte_nombre_adverbiaux_pointage_non_absolu_text","17.1666666666667","14.3496259430649","1","46","17","3.4","26.6","0.237309844223997","0.293419321456938"
"134","adverbiaux_temporels_texte_proportion_adverbiaux_iterateur_calendaire_text","0.00886015325555555","0.0211277890019019","0","0.0625","0","0","0","0.241606253271527","0.29086607084442"
