xxx,29173
pourquoi,7093
tu,105615
m',13810
as,21206
mis,2978
le,180860
verre,625
d,321
--,740
ratatouille,62
ah,66671
non,83212
merci,3467
papa,6809
moi,38175
je,123468
mange,1899
de,198400
papier,1372
!.,671
pas,132755
la,117806
salade,291
quoi,28804
hum,22385
mais,67945
c',200789
est,282855
soupe,388
veux,18472
v,54
kiri,46
maman,13510
on,108446
j,315
en,81771
face,677
et,142438
il,117537
va,28878
être,9794
juste,3314
à,134311
côté,4807
toi,12707
oui,156227
aussi,18401
faut,17210
étaler,21
s',20372
y,75332
a,108080
des,69925
petits,4091
bouts,169
étale,49
faire,23422
ça,134722
mangeait,96
tout,37563
ben,31400
avait,14395
asperges,13
hamburgers,9
j',67683
ai,40693
que,127394
du,3406
muscat,15
allé,1057
corse,102
top,104
fort,1596
trop,8112
..?,1599
t',11074
donné,1575
vin,332
blanc,1095
jus,289
fruit,113
lui,14064
mets,5234
un,103255
bout,1664
courge,8
mélange,346
vois,9983
fondu,38
une,56979
tartine,91
avec,24541
d',69825
accord,21148
elle,43405
bonne,2043
ta,4205
les,120175
personnages,235
xxx.,4445
qu',77125
eu,6932
autocollant,22
qui,69653
mangé,1228
après,15736
autocollants,79
dit,15678
aura,1315
dessus,1730
si,32410
demande,1621
ont,12784
demandé,717
prend,1697
fromage,553
gorge,85
mieux,4166
.?,229
plus,34997
miam,881
aimes,1192
chaud,1291
pour,45683
ira,366
loto,68
gagner,298
petshops,55
petshop,52
reste,2305
gratté,10
dehors,1269
xx?,75
es,7377
content,745
-ce,29123
ceux,1788
sont,19378
contents,222
ils,38296
vont,3001
rentrent,147
sarkozy,29
parce,32440
parle,3639
correctement,227
av,82
tous,8719
deux,15687
vous,69623
idée,1070
venu,641
était,26903
rester,1095
sa,5391
maison,4483
puis,20070
voulait,969
casser,490
casse,412
gronder,42
hein,37893
petit,15684
grand,3911
gros,3498
oh,32571
partagé,53
grosse,1121
toute,5023
petite,5151
pris,2169
couteau,392
ton,6015
sinon,3283
te,13070
transforme,76
étoile,232
prends,2481
vas,9654
dans,47193
ciel,335
regarderais,6
prune,250
sauverais,3
entend,768
bruit,1320
fait,43810
xxx!,59
fini,2709
manger,3856
rien,6437
jouer,2607
ici,7336
attends,8106
vais,10925
voulais,1323
l',72923
allumer,126
grave,1272
suis,14004
là,65018
aller,8512
chercher,2581
ma,9142
couverture,174
alors,40229
mes,5322
pantoufles,135
enlève,973
princesse,256
c,337
rose,899
me,19719
regardes,543
lancé,127
avais,6330
haut,1420
raté,171
canapé,219
papa?,128
regarde,15103
sur,20945
regarde-moi,5
-moi,597
hop,4644
sais,20988
lancer,158
aïe,1879
lance,207
fon,9
enfoncée,4
terre,1514
rigolo,409
très,20051
attraper,427
bras,841
vole,239
ouh,2362
allez,9243
chérie,474
amour,391
plait,301
m,487
comment,12491
levée,29
sauvée,18
fais,11589
^,255
cogner,44
peut,11188
bleu,1541
fesses,355
dessous,778
recommencer,157
galope,17
viens,5210
mon,15327
sac,1028
donc,32005
ne,13194
inquiète,223
verras,132
dessin,773
beau,2358
colline,16
châteaux,145
hisse,338
vis,266
jolie,327
bébés,668
ventre,524
n',16328
importe,1271
tralala,16
porter,291
colle,407
youh,3
xx,5329
voir,8249
enfants,6624
voulez,2782
prépare,237
assiette,513
ou,26366
achetées,30
quelle,2423
couleur,1355
euh,181853
mettre,7109
servira,31
comme,30125
sel,256
donnez,112
vos,2152
assiettes,86
maintenant,9538
bien,34251
kiwi,30
chambre,1339
donner,2057
tenez,99
trompette,94
fourchette,296
tiens,7030
fouchette,2
entendez,202
revoir,1036
partir,1708
ouvrir,886
votre,5375
chaise,565
dedans,2386
dos,771
son,7679
met,3596
école,5913
directement,409
sans,3461
