id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
0;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.27.txt;3.56;3.56;3.56
1;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.36.txt;4.64;4.64;4.64
4;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.95.txt;2.74;2.74;2.74
5;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.04.txt;2.72;2.72;2.72
6;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.11.txt;2.81;2.81;2.81
7;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.16.txt;2.73;2.73;2.73
8;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.22.txt;2.81;2.81;2.81
9;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.32.txt;2.82;2.82;2.82
10;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.4.txt;3.01;3.01;3.01
11;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.47.txt;2.98;2.98;2.98
12;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.63.txt;2.92;2.92;2.92
13;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.7.txt;2.87;2.87;2.87
14;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.78.txt;2.98;2.98;2.98
15;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.87.txt;3.07;3.07;3.07
16;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.94.txt;3.14;3.14;3.14
17;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.04.txt;3.23;3.23;3.23
