"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"65","pronoms_texte_proportion_pronoms_personnels_1e_personne_text","0.0322248840272727","0.0139384255676315","0.0107642626","0.0556426332","0.0298769772","0.0232067511","0.0480417755","0.00010422251349332","0.909362626278598"
"69","pronoms_texte_proportion_pronoms_personnels_singuliers_text","0.0765934746363636","0.0255716664919152","0.0400843882","0.1295039164","0.0728643216","0.0551470588","0.0956146657","0.00191888734648671","0.821683222628694"
"39","flexions_verbales_texte_proportion_flexions_1e_personne_text","18.3401295536727","6.9785978187697","5.0847457627","29.702970297","17.5","16.6666666667","23.0769230769","0.00252787515934719","0.809638091645325"
"68","pronoms_texte_proportion_pronoms_personnels_text","0.0964504761454545","0.031089481345144","0.0485232068","0.1420365535","0.0920096852","0.0643382353","0.1236520489","0.00897767820276595","0.741696043283188"
"66","pronoms_texte_proportion_pronoms_personnels_2e_personne_text","0.0107004644818182","0.00769080201329069","0.0021097046","0.0297650131","0.0079086116","0.0064585576","0.0150753769","0.0141082356353925","0.711315144462021"
"53","parties_du_discours_texte_proportion_PRON_text","0.170321716545455","0.0519711391677798","0.0780590717","0.2250179727","0.175879397","0.1194852941","0.2203655352","0.0212065904472693","0.680433039450322"
"180","structures_syntaxiques_texte_nombre_subordonnees_qui_text","2.27272727272727","2.14899553703162","0","5","1","0","5","0.0330056847273011","0.642534030741879"
"177","dependances_syntaxiques_texte_variance_nombre_dependances_text","1944.90395587024","1155.77262965022","477.4099763969","4075.2153090027","1600.2614336268","1094.1887988036","2569.7965336902","0.0345421548656789","0.638346741168531"
"130","connecteurs_organisateurs_texte_proportion_argumentatifs_et_concessifs_text","0.0540740729545455","0.0426767740656358","0","0.1652892562","0.0526315789","0.0253164557","0.0669642857","0.0435856227800805","0.616020325883622"
"16","richesse_lexicale_texte_moyenne_probabilite_mots_text","-3.77080715137273","0.220366311305554","-4.102148934","-3.525534126","-3.7791920576","-3.9480320247","-3.5645884262","0.0485625352681646","0.605083160760335"
"129","connecteurs_organisateurs_texte_nombre_argumentatifs_et_concessifs_text","10.4545454545455","10.957770177948","0","40","8","4","15","0.0504189618112873","0.601201424474258"
"103","adverbiaux_temporels_texte_proportion_adverbiaux_pointage_non_absolu_text","0.879176379181818","0.1899484044013","0.5","1","1","0.6666666667","1","0.055635639281046","0.590793188011492"
"71","pronoms_texte_proportion_pronoms_relatifs_text","0.00252497030909091","0.00249236144563484","0","0.0078369906","0.0021097046","0","0.0043134436","0.058303623954949","0.585726245029223"
"72","pronoms_texte_proportion_pronoms_interrogatifs_text","0.00279158871818182","0.00171774425899263","0","0.0060532688","0.002875629","0.0013586957","0.0036553525","0.0648970148731037","0.573846534941432"
"8","niveau_lexical_texte_proportion_niveau_4_text","0.132793833918182","0.025832502552044","0.0717299578","0.1658291457","0.1351902174","0.1205597417","0.1519582245","0.0752306326373188","0.556769138542072"
"131","connecteurs_organisateurs_texte_nombre_connecteurs_temporels_text","6.90909090909091","9.91417717669546","0","34","3","0","8","0.0789770558694924","0.550967944342635"
"146","metaphores_texte_nombre_metaphores_min_2_mots_text","0.181818181818182","0.404519917477945","0","1","0","0","0","0.0825328978880356","0.545629154763933"
"181","structures_syntaxiques_texte_proportion_subordonnees_qui_text","0.0122968056","0.0107386842880269","0","0.0285714286","0.0101010101","0","0.0223214286","0.0974266150603209","0.524788345388471"
"75","pronoms_texte_nombre_pronoms_indefinis_text","119.181818181818","59.045437049476","42","218","108","75","168","0.0996490754312302","0.521862447159571"
"182","structures_syntaxiques_texte_nombre_subordonnees_que_text","0.545454545454545","0.934198732993827","0","3","0","0","1","0.103925781226999","0.516349901208054"
