"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"20","flexions_verbales_texte_diversite_temps_verbaux_text","4.71806167400881","2.61374510672046","0","10","5","2","7","5.2498564292966e-49","0.786578925643798"
"79","pluriels_texte_nombre_pluriels_text","97.9867841409692","110.708038263139","0","623","68","0.200000000000003","163.8","4.45476540786434e-47","0.776786540210153"
"77","pronoms_texte_nombre_pronoms_indefinis_text","154.669603524229","140.172716158145","0","857","140","10.4","253.4","5.84714925326947e-47","0.776170153969115"
"4","graphie_texte_variance_longueur_mots_text","1318.81044593883","1098.1655671759","-4.125","6150.9979264987","1254.9896367035","233.94471423386","2150.39478998798","3.86169092257278e-46","0.77183718772923"
"57","parties_du_discours_texte_proportion_SCONJ_text","0.00937809372863436","0.0105725105101485","0","0.0448236633","0.0055316533","0","0.01772521278","3.05099062387536e-43","0.75571852765881"
"168","modalite_texte_nombre_marqueurs_text","150.061674008811","142.081509956509","0","684","130","11","262","1.01562427921145e-40","0.740585983543658"
"232","dependances_syntaxiques_texte_nombre_moyen_dependances_text","96.0700125542736","71.0688212968577","0.3333333333","340.5727638769","95.3103448276","19.23260835622","153.345966293","3.3238853590827e-40","0.737360958026856"
"176","modalite_texte_nombre_marqueurs_niveau3_text","90.9823788546256","88.450624432265","0","410","76","3.2","158.8","1.90818680559319e-39","0.732519133275193"
"80","pluriels_texte_proportion_pluriels_text","0.0520633525211454","0.0389907864180147","0","0.1645824929","0.0516403402","0.000490196080000007","0.08497005484","6.20765646503247e-39","0.729190083259218"
"171","modalite_texte_nombre_axiologique_text","11.3964757709251","13.7326426535651","0","91","8","0","18.8","6.59391835705639e-37","0.715520989062361"
"174","modalite_texte_nombre_epistemique_text","57.0176211453744","58.601546746154","0","284","44","1","102","1.81436510112242e-36","0.71244519976719"
"175","modalite_texte_nombre_pas_d_indication_text","12.511013215859","14.6028125650355","0","72","8","0","22","3.68362958406178e-36","0.710268923514645"
"179","modalite_texte_nombre_marqueurs_niveau0_text","12.511013215859","14.6028125650355","0","72","8","0","22","3.68362958406178e-36","0.710268923514645"
"197","modalite_texte_nombre_pas_d_indication_niveau0_text","12.511013215859","14.6028125650355","0","72","8","0","22","3.68362958406178e-36","0.710268923514645"
"16","richesse_lexicale_texte_moyenne_probabilite_mots_text","-4.18193222250617","0.883303979244617","-6","-2.980662","-3.7456963972","-5.10773636186","-3.45148512076","3.92770371782854e-36","0.710070762843317"
"32","flexions_verbales_texte_diversite_systemes_temps_text","1.97356828193833","0.972728599270664","0","3","2","1","3","6.63531800920669e-36","0.708444914163389"
"66","pronoms_texte_proportion_pronoms_personnels_1e_personne_text","0.0258091812964758","0.0252895803829969","0","0.0995360607","0.0194250194","0","0.05099049264","6.6554053412022e-36","0.708435508986479"
"194","modalite_texte_nombre_epistemique_niveau3_text","51.7533039647577","53.997139592466","0","255","39","0.200000000000003","95","5.268091211564e-35","0.701909505117927"
"144","connecteurs_organisateurs_texte_proportion_argumentatifs_et_concessifs_text","0.0263922101343612","0.0390446918445295","0","0.1992882562","0.0075471698","0","0.051140834","6.63989278193852e-35","0.701168266515085"
"244","structures_syntaxiques_texte_nombre_subordonnees_hypothetiques_text","3.29074889867841","5.00301262014969","0","35","1","0","5","1.25938198015849e-33","0.691539654540151"
"170","modalite_texte_nombre_appreciatif_text","27.7621145374449","25.7131172565438","0","162","25","4","44.8","2.94501005935448e-33","0.688688040825794"
"148","connecteurs_organisateurs_texte_proportion_explicatifs_et_justificatifs_text","0.0290916941295154","0.0335552211439153","0","0.1453634085","0.018957346","0","0.05839951626","5.22490547917705e-33","0.686744700462813"
"143","connecteurs_organisateurs_texte_nombre_argumentatifs_et_concessifs_text","8.09691629955947","14.4089862326961","0","100","2","0","13.8","7.35660572541618e-33","0.685577612514465"
"146","connecteurs_organisateurs_texte_proportion_connecteurs_temporels_text","0.0280674785722467","0.0402432137985565","0","0.2330097087","0.0098039216","0","0.04790822374","3.07625968746484e-32","0.6806375773677"
"183","modalite_texte_nombre_appreciatif_niveau3_text","9.55947136563877","12.5444249748403","0","87","6","0","16","3.32400808035479e-32","0.680367328850314"
"147","connecteurs_organisateurs_texte_nombre_explicatifs_et_justificatifs_text","8.31277533039648","12.9034524006709","0","86","3","0","14","4.11198355097469e-32","0.679623597740822"
"169","modalite_texte_nombre_alethique_text","62.6035242290749","66.1646617568695","0","337","52","1","109.8","9.88195047179452e-31","0.668240322440657"
