"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"207","modalite_texte_proportion_axiologique_niveau3_text","0.361810646790323","0.429259858624354","0","1","0","0","1","3.81886655683545e-06","0.401450617993868"
"164","modalite_texte_nombre_boulique_text","5.08870967741935","4.61353980594552","0","18","4","1","9","4.72014867583862e-05","0.356917530901769"
"181","modalite_texte_nombre_boulique_niveau3_text","5.0483870967742","4.6308524188707","0","18","3.5","1","9","6.22603295605102e-05","0.351587864874449"
"20","flexions_verbales_texte_diversite_temps_verbaux_text","4.37096774193548","1.60014095891014","1","8","4","3","6","0.000109527176382162","0.34041091429242"
"212","modalite_texte_proportion_deontique_niveau3_text","0.478494623655645","0.497381463926037","0","1","0","0","1","0.000136047495776341","0.336005677779908"
"210","modalite_texte_proportion_boulique_niveau3_text","0.88508064516129","0.311368591780783","0","1","1","1","1","0.00026205067326118","0.322269964915202"
"193","modalite_texte_proportion_boulique_text","0.0151737353266129","0.010960531714955","0","0.0666666667","0.01293487955","0.00659197502","0.02503341458","0.000337363615178944","0.316798265275103"
"33","flexions_verbales_texte_passe_text","13.9073970031823","10.3652880734852","0","57.8947368421","11.48351648355","6.17424242424","21.79347826088","0.00138432682934453","0.284115151696958"
"231","structures_syntaxiques_texte_proportion_subordonnees_completives_text","0.167243144826613","0.107804208855297","0","0.5294117647","0.1606451613","0.0637096774","0.250990099","0.00141370928320075","0.283598892002138"
"59","parties_du_discours_texte_proportion_VERB_text","0.142648794434677","0.0294441904207255","0.0707070707","0.2236842105","0.1438378709","0.11769271664","0.16837698586","0.00162831277067958","0.280099547137429"
"194","modalite_texte_proportion_deontique_text","0.00293588401209677","0.00375993722363504","0","0.0167597765","0","0","0.00636347626","0.00202323877423354","0.274633782504511"
"32","flexions_verbales_texte_diversite_systemes_temps_text","2.13709677419355","0.530909289319225","1","3","2","2","3","0.0021367816629727","0.273242006664644"
"9","niveau_lexical_texte_proportion_niveau_5_text","0.0722147713379032","0.0268914233179862","0","0.1530612245","0.07271416365","0.0475705421","0.09411517444","0.002587962717679","0.26830138916628"
"178","modalite_texte_nombre_axiologique_niveau3_text","1.14516129032258","1.87275523464651","0","9","0","0","2","0.00318862254672638","0.262812898745316"
"46","parties_du_discours_texte_proportion_ADP_text","0.0829526565298387","0.0295907456953551","0","0.1630434783","0.08142640085","0.05933293162","0.10823835882","0.00325359936718526","0.262276392764359"
"24","flexions_verbales_texte_proportion_ind.impft_text","3.65794407297823","5.89934860075149","0","33.3333333333","1.4185110664","0","5.61904761908","0.00814402922859544","0.236633185491941"
"22","flexions_verbales_texte_proportion_ind.ps_text","0.646663599145968","2.13159104941882","0","13.3333333333","0","0","0","0.00923451525800812","0.232913040484078"
"147","propositions_subordonnees_texte_proportion_subordonnees_type_savoir_que_text","0.00412505606048387","0.0111834089837619","0","0.0625","0","0","0","0.00947660719629663","0.232140068334317"
"99","adverbiaux_temporels_texte_nombre_adverbiaux_dur_iter_deictique_text","0.0403225806451613","0.197512726702728","0","1","0","0","0","0.0100950690375086","0.230241612216857"
"151","propositions_subordonnees_texte_proportion_subordonnees_type_croire_que_present_text","0.00402670830241935","0.0109467480598846","0","0.0625","0","0","0","0.0112002913909745","0.227090138247572"
"39","flexions_verbales_texte_proportion_infinitif_text","12.7788705832105","7.57362239630602","0","36.5853658537","12.5","6.50000000002","19.36868686868","0.011486525545126","0.226318602645111"
"3","graphie_texte_longueur_mots_moyenne_text","3.78135333533145","0.268214970696225","2.9166666667","4.3008658009","3.81532356535","3.50102328052","4.0081824004","0.0136983271924531","0.220866416074672"
"26","flexions_verbales_texte_proportion_inf._text","12.7096657050387","7.55958038994837","0","36.5853658537","12.5","6.50000000002","19.1196777906","0.013769441696838","0.220704256499098"
"189","modalite_texte_proportion_marqueurs_text","0.0775034045258065","0.024706809987527","0.0161290323","0.1425","0.0753807301","0.05839826836","0.09828398632","0.015768812029247","0.216419497656539"
"130","connecteurs_organisateurs_texte_proportion_organisateurs_temporels_text","0.0342656395475806","0.0478213866031265","0","0.2285714286","0.0160010241","0","0.06097902096","0.0169361040713419","0.214131907675989"
"113","adverbiaux_temporels_texte_proportion_adverbiaux_dur_iter_deictique_text","0.0188172043008064","0.108283139130493","0","1","0","0","0","0.0185499156922988","0.211184571934075"
"195","modalite_texte_proportion_epistemique_text","0.025078581975","0.0146039024202144","0","0.0625","0.02504285295","0.01182661684","0.03577341794","0.0186677937783076","0.210978095703039"
"197","modalite_texte_proportion_marqueurs_niveau3_text","0.594789714796774","0.165572355381951","0.2","1","0.5961179545","0.4587412587","0.74283570894","0.018679932543526","0.210956897373209"
"219","dependances_syntaxiques_texte_distance_moyenne_dependances_text","1.83658488958468","0.263271402037616","1.2615384615","2.8390804598","1.83349607915","1.62816986448","2.05453597616","0.0217152441324422","0.205995491721083"
"127","emotions_texte_surprise_text","0.000357376429032258","0.00209565958600908","0","0.0163934426","0","0","0","0.0255222780178526","0.200554448663759"
"156","propositions_subordonnees_texte_nombre_subordonnees_gerondif_text","0.145161290322581","0.397012182383517","0","2","0","0","0","0.0349218859160133","0.189615826720804"
"19","adjectifs_ordinaux_texte_proportion_adjectifs_ordinaux_text","0.000711316648387097","0.00225508684901882","0","0.014354067","0","0","0","0.0547265020553296","0.172963749525459"
"12","niveau_lexical_texte_proportion_niveau_8_text","0.00061616069516129","0.00164107170018005","0","0.0083194676","0","0","0","0.0548232230965678","0.17289576236842"
"157","propositions_subordonnees_texte_proportion_subordonnees_gerondif_text","0.00397820837338709","0.0117351672671882","0","0.0666666667","0","0","0","0.0552059868925773","0.172627675157732"
