"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"299","structures_syntaxiques_texte_proportion_subordonnees_completives_text","0.1719990264625","0.113414347064434","0.027027027","0.5503875969","0.1429765886","0.0857142857","0.25861678004","1.39917223500752e-10","0.698420499831682"
"45","flexions_verbales_texte_proportion_infinitif_text","13.0330695506156","6.16920559103275","0","28.2392026578","11.43790849675","8.2323232323","17.9823455233","5.17221723929853e-10","0.682711504840945"
"29","flexions_verbales_texte_proportion_inf._text","13.0143213077781","6.1618543031433","0","27.9069767442","11.43790849675","8.04848484848","17.9823455233","5.61325227021738e-10","0.681694915574478"
"53","parties_du_discours_texte_proportion_ADV_text","0.094525138375","0.0226797449104113","0.0485792851","0.1515957447","0.09210804125","0.0760509526","0.11786105518","9.08445831690293e-07","0.569448805690853"
"293","structures_syntaxiques_texte_proportion_subordonnees_que_text","0.0219565139609375","0.0236715925378306","0","0.0930232558","0.0164592352","0","0.03533834586","4.94352376554931e-06","0.536261411042361"
"3","graphie_texte_longueur_mots_moyenne_text","3.589749752325","0.102177274447594","3.4066780822","3.9298245614","3.57641163855","3.50270236236","3.67435628098","5.86384704386002e-06","0.532711109325291"
"39","flexions_verbales_texte_present_text","82.2579372630172","9.14086613155379","64.9635036496","98.7179487179","83.0459770115","74.21927710842","91.44968152868","3.42702496911327e-05","0.493449622895972"
"181","connecteurs_organisateurs_texte_proportion_explicatifs_et_justificatifs_text","0.0947605859109375","0.0631521392875479","0","0.3333333333","0.0855320913","0.0424731183","0.12590909092","6.08247380439919e-05","0.479576491068944"
"283","dependances_syntaxiques_texte_distance_moyenne_dependances_text","1.91075885514844","0.190597140245284","1.4113475177","2.3144171779","1.9389254188","1.7181818182","2.07047211096","9.28105094434121e-05","0.46896254800096"
"8","niveau_lexical_texte_proportion_niveau_4_text","0.123129604940625","0.0258524318017169","0.0783410138","0.2169312169","0.1200934806","0.10272228626","0.1422524272","0.000337202232321339","0.434222611152231"
"188","propositions_subordonnees_texte_proportion_subordonnees_type_savoir_que_text","0.0107314781984375","0.0140010874301254","0","0.0519480519","0.0027932961","0","0.02428571428","0.000378274461683518","0.430939435162457"
"41","flexions_verbales_texte_proportion_temps_compose_text","90.9194970760547","5.45393753318835","79.3548387097","100","90.74544012685","86.01742891674","95.7913043478","0.000510559110267333","0.422213605825595"
"292","structures_syntaxiques_texte_nombre_subordonnees_que_text","1.953125","2.25676891869348","0","12","1","0","3","0.000748686686685085","0.410722817015248"
"57","parties_du_discours_texte_proportion_INTJ_text","0.0602732376265625","0.0248034526248927","0.0175953079","0.1411411411","0.05391838205","0.04250474718","0.0732893204","0.00078380487869726","0.409319177065959"
"298","structures_syntaxiques_texte_nombre_subordonnees_completives_text","17.390625","14.1630159862014","1","72","15","7.2","22","0.00153982541693498","0.387904138088736"
"64","parties_du_discours_texte_proportion_SCONJ_text","0.0387597524640625","0.0119159917263731","0.0126582278","0.0674157303","0.03887272865","0.02852971848","0.04818995716","0.00226239534675182","0.375034781949967"
"173","connecteurs_organisateurs_texte_proportion_illustration_et_exemplification_text","0.0524211576984375","0.0405298831940278","0","0.1886792453","0.04679802955","0.01632333766","0.08525252526","0.00247923992799707","0.371895898474384"
"17","richesse_lexicale_texte_moyenne_probabilite_mots_text","-3.30626404217656","0.069640098822216","-3.4999419826","-3.1467590956","-3.29693843215","-3.36694463442","-3.2478440562","0.00395301597701195","0.355399470287334"
"153","emotions_texte_desir_text","0.0011886572671875","0.00269225964265355","0","0.014084507","0","0","0.00174244734","0.00454795502539066","0.350270217886676"
"192","propositions_subordonnees_texte_proportion_subordonnees_type_croire_que_present_text","0.0082770308859375","0.0115564174453976","0","0.0465116279","0","0","0.0179207921","0.00693945223884668","0.334287548186972"
"25","flexions_verbales_texte_proportion_ind.fut_text","0.791703138759375","1.4956845378886","0","8.7912087912","0","0","1.2820512821","0.00922766198317168","0.323029182645033"
"40","flexions_verbales_texte_futur_text","1.64556472891406","1.86008398936795","0","9.8901098901","1.19064493265","0","2.97682709448","0.010285329023101","0.31863296331272"
"284","dependances_syntaxiques_texte_point_distance_moyenne_text","2.14654807569219","0.142397510455348","1.5803536889","2.3586196366","2.16804464935","2.0502738277","2.2661366977","0.0185819746519679","0.293499267633507"
"99","adverbiaux_temporels_texte_nombre_adverbiaux_duratifs_iteratifs_text","2.484375","2.41682060265069","0","11","2","0","4","0.0192901609822295","0.291837982027033"
"177","connecteurs_organisateurs_texte_proportion_argumentatifs_et_concessifs_text","0.0973077985296875","0.0692568067893764","0","0.3720930233","0.08513603925","0.04425287358","0.13133333332","0.0193653245375329","0.291664728524697"
"179","connecteurs_organisateurs_texte_proportion_connecteurs_temporels_text","0.116379110770313","0.0647921683282771","0.0125786164","0.3333333333","0.1036721899","0.06775472852","0.16579710146","0.0197056227619644","0.290887433562642"
"12","niveau_lexical_texte_proportion_niveau_8_text","0.0004177664796875","0.000832155080005358","0","0.0041322314","0","0","0.000889665880000001","0.0242965531656204","0.281381663708788"
"116","adverbiaux_temporels_texte_nombre_adverbiaux_dur_iter_deictique_text","0.046875","0.213042025811587","0","1","0","0","0","0.0276137805138292","0.275420404312677"
"180","connecteurs_organisateurs_texte_nombre_explicatifs_et_justificatifs_text","9.625","8.03464719546263","0","43","8","4","13.4","0.0288547071210128","0.273344930052088"
"187","propositions_subordonnees_texte_nombre_subordonnees_type_savoir_que_text","1.046875","1.35024615627658","0","6","0.5","0","2","0.0362541648621621","0.262325214911369"
"140","adverbiaux_temporels_texte_proportion_adverbiaux_dur_iter_relatif_text","0.208898368571875","0.214339144033178","0","1","0.1666666667","0","0.34999999998","0.038535352380132","0.25930791864949"
"117","adverbiaux_temporels_texte_nombre_adverbiaux_dur_iter_relatif_text","1.53125","1.72717541686851","0","10","1","0","3","0.0402282577102883","0.25716309429902"
"130","adverbiaux_temporels_texte_proportion_adverbiaux_loc_temp_regionalisation_id_text","0.769270833332812","0.56469637820588","0","2","1","0","1","0.0503689035991875","0.245681246725404"
"125","adverbiaux_temporels_texte_proportion_adverbiaux_pointage_non_absolu_text","0.394619542328125","0.254472654273751","0","1","0.3923076923","0.17575757576","0.6666666667","0.0509188494596125","0.245114810715315"
"67","parties_du_discours_texte_proportion_X_text","0.0393282189078125","0.0189867701558453","0","0.1083916084","0.0377218122","0.0259198137","0.0490972811","0.0582928154251336","0.237963964493941"
"223","modalite_texte_nombre_axiologique_niveau1_text","0.03125","0.17536809360305","0","1","0","0","0","0.0588467875342448","0.237457053112309"
