fichier	corpus	loc	utt	token	age	annee	FUT	CONJ	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub15_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	372	90	6;	6	0	0	0	0	0	18	5	0	3	0	0	1	1	0	2	0	0	3	x
./ttg_perceo_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub16_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	268	65	6;	6	0	0	0	5	2	12	0	0	3	1	2	1	0	0	2	0	0	6	x
./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem1_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	287	83	10;	10	0	0	0	0	1	12	1	0	3	0	0	3	0	0	1	1	0	7	x
./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem2_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	142	25	6;03.17	6.25	0	1	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	5	x
./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem3_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	350	68	6;03.17	6.25	0	1	0	1	1	19	2	0	5	1	2	3	0	0	1	1	0	4	x
./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem4_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	98	23	6;03.17	6.25	0	0	0	1	0	3	0	0	0	0	0	3	0	0	1	0	0	5	x
./ttg_perceo_clan/Enfants_Long_Cassandra_Can_5.2-6.7_Cassandra11_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	230	44	6;02.12	6.16667	0	0	2	1	1	10	0	0	2	0	0	2	1	0	2	0	1	1	x
./ttg_perceo_clan/Enfants_Long_Cassandra_Can_5.2-6.7_Cassandra12_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	263	73	6;02.12	6.16667	0	0	0	0	0	11	0	0	1	0	0	0	0	0	3	0	0	6	x
./ttg_perceo_clan/Enfants_Long_Ferdinand_Can_5.11-7.2_Ferdinand3_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	270	92	6;01.05	6.08333	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	1	x
./ttg_perceo_clan/Enfants_Long_Ferdinand_Can_5.11-7.2_Ferdinand4_Can_Anon.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	278	59	6;01.05	6.08333	0	2	0	0	0	6	0	0	1	0	0	1	0	0	2	1	0	6	x
./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien1_bia.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	292	105	3;02.12	3.16667	0	0	0	0	2	16	5	0	0	0	0	1	2	0	2	0	0	6	x
./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien2_bia.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	272	71	3;04.23	3.33333	0	0	1	0	0	14	0	0	1	0	0	1	0	0	2	0	0	1	x
./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien3_bia.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	839	145	20;	20	0	1	4	0	27	64	3	0	9	0	1	1	19	0	5	3	0	28	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia10_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	310	48	5;	5	0	0	1	0	10	14	0	0	7	0	0	3	5	0	2	1	1	13	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia11_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	127	20	5;01.05	5.08333	0	0	0	0	0	7	0	0	2	0	1	2	0	0	1	0	0	5	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia12_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	285	41	5;01.05	5.08333	0	2	0	1	3	13	1	0	2	0	2	1	2	0	1	1	1	15	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia1_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	219	56	4;02.12	4.16667	0	0	2	1	0	11	0	0	1	0	1	4	0	0	3	1	0	23	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia2_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	207	55	4;02.12	4.16667	0	3	1	0	0	9	0	0	1	0	0	5	0	0	0	0	0	10	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia3_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	145	35	4;03.17	4.25	0	0	1	0	1	9	0	0	0	0	1	2	2	0	0	0	0	8	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia4_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	225	52	4;03.17	4.25	0	4	1	0	1	11	4	0	1	0	1	1	0	0	1	0	0	8	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia5_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	294	57	4;04.24	4.33333	0	3	0	3	3	21	1	0	5	0	0	1	1	0	1	0	0	5	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia6_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	313	52	4;05.30	4.41667	0	0	0	0	2	17	1	0	3	0	1	3	1	0	3	2	0	12	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia7_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	283	42	4;05.30	4.41667	2	0	0	0	0	16	0	0	5	1	0	7	0	0	1	1	0	6	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia8_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	405	94	4;07.05	4.58333	0	0	0	2	5	28	1	0	2	1	1	2	3	0	1	0	0	12	x
./ttg_perceo_clan/Enfants_Long_celia_can_4.2-5.1_celia9_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	102	23	4;08.11	4.66667	0	0	0	0	0	5	0	0	0	0	0	3	1	0	0	0	0	3	x
./ttg_perceo_clan/Enfants_Long_celia_gav_4.7-4.11_celia1_gav.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	542	95	4;07.05	4.58333	0	0	0	4	2	40	1	0	3	1	1	2	1	0	3	3	0	14	x
./ttg_perceo_clan/Enfants_Long_celia_gav_4.7-4.11_celia2_gav.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	696	108	4;08.11	4.66667	0	5	0	15	4	56	6	0	4	3	1	2	0	0	6	1	0	18	x
./ttg_perceo_clan/Enfants_Long_celia_gav_4.7-4.11_celia3_gav.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	448	46	4;10.23	4.83333	1	0	1	0	0	29	0	0	2	0	1	4	1	0	2	1	0	13	x
./ttg_perceo_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny1_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	578	108	3;08.11	3.66667	0	1	0	0	4	24	4	0	1	2	3	0	2	0	1	0	0	29	x
./ttg_perceo_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny2_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	483	108	4;	4	0	1	0	7	1	19	5	0	4	0	4	5	1	0	7	0	1	11	x
./ttg_perceo_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny3_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	410	113	4;02.12	4.16667	0	0	3	2	1	23	0	0	1	0	2	2	0	0	2	0	0	8	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle1_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	157	65	3;	3	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle2_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	256	95	3;01.06	3.08333	0	2	0	2	0	2	0	0	0	0	0	1	0	0	2	0	0	6	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle3_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	285	115	3;03.17	3.25	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle4_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	239	90	3;03.17	3.25	0	0	1	0	0	4	1	0	0	0	0	2	0	0	0	0	0	6	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle5_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	210	78	3;03.17	3.25	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	7	x
./ttg_perceo_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle6_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	184	76	3;04.23	3.33333	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance1_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	208	60	3;05.30	3.41667	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	1	0	2	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance2_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	13	6	3;07.05	3.58333	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance3_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	160	41	3;09.17	3.75	0	0	0	4	2	9	0	0	2	0	2	1	0	0	1	0	2	3	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance4_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	208	46	3;10.23	3.83333	0	0	0	0	3	12	1	0	2	0	1	5	0	0	1	0	0	0	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance5_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	147	37	3;10.23	3.83333	0	0	0	0	0	6	1	0	1	0	3	2	0	0	0	0	0	0	x
./ttg_perceo_clan/Enfants_Long_garance_sow_3.6-3.11_garance6_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	157	40	3;10.23	3.83333	0	0	0	0	0	7	0	0	0	0	0	0	1	0	1	2	0	1	x
./ttg_perceo_clan/Enfants_Long_hector_aub_5.6-6.0_hector1_aub.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	547	85	5;05.30	5.41667	0	2	1	3	1	40	3	0	1	1	2	9	3	0	1	0	0	8	x
./ttg_perceo_clan/Enfants_Long_hector_aub_5.6-6.0_hector2_aub.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	588	72	5;09.17	5.75	2	1	0	15	7	56	1	0	2	1	1	5	2	0	5	3	0	13	x
./ttg_perceo_clan/Enfants_Long_hector_aub_5.6-6.0_hector3_aub.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	603	88	6;	6	2	1	0	27	4	39	1	0	2	1	1	6	3	0	3	2	0	25	x
./ttg_perceo_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo1_bar.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	1287	283	3;07.05	3.58333	1	1	1	5	8	113	4	0	2	0	0	2	4	0	21	1	0	33	x
./ttg_perceo_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo2_bar.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	2136	333	3;09.17	3.75	1	10	1	6	14	109	13	0	4	4	2	7	15	0	21	1	5	35	x
./ttg_perceo_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo3_bar.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	1958	300	4;01.05	4.08333	9	3	2	16	16	172	13	0	3	5	4	9	11	0	20	1	2	51	x
./ttg_perceo_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo1_gre.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	569	74	3;04.23	3.33333	x
./ttg_perceo_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo2_gre.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	581	94	3;07.05	3.58333	0	1	0	1	4	52	3	0	2	0	0	1	6	0	4	1	0	9	x
./ttg_perceo_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo3_gre.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	2852	390	3;10.23	3.83333	7	3	0	15	18	269	6	0	7	5	9	7	28	0	25	4	3	36	x
./ttg_perceo_clan/Enfants_Long_india_bru_3.1-3.6_india1_bru.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	349	80	3;01.06	3.08333	1	0	0	0	0	21	4	0	3	0	1	0	1	0	0	0	0	6	x
./ttg_perceo_clan/Enfants_Long_india_bru_3.1-3.6_india2_bru.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	287	75	3;03.17	3.25	2	0	1	1	0	24	1	0	4	0	0	0	0	0	1	0	0	8	x
./ttg_perceo_clan/Enfants_Long_india_bru_3.1-3.6_india3_bru.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	292	82	3;05.30	3.41667	0	2	0	5	3	19	4	0	0	0	3	1	2	0	1	0	0	10	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel1_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	300	50	5;03.17	5.25	0	0	0	11	5	16	1	0	3	0	2	3	1	0	3	1	0	9	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel2_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	156	32	5;04.24	5.33333	0	0	0	2	0	11	0	0	1	1	7	4	0	0	0	0	0	4	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel3_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	239	45	5;04.24	5.33333	0	1	0	0	1	20	0	0	0	0	10	8	1	0	2	0	0	1	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel4_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	454	135	5;04.24	5.33333	0	2	2	9	1	35	2	0	0	2	0	1	1	0	2	0	0	13	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel5_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	224	44	5;05.30	5.41667	0	0	1	9	0	16	0	0	0	1	1	3	0	0	1	2	0	6	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel6_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	915	251	5;05.30	5.41667	3	1	0	3	3	57	6	0	2	0	3	7	1	0	7	0	1	31	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel7_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	511	118	5;07.05	5.58333	0	0	1	1	3	25	0	0	3	2	1	8	0	0	6	0	0	11	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel8_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	631	122	5;08.11	5.66667	2	1	0	12	0	37	6	0	4	1	2	4	2	0	11	3	0	25	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel9_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	435	88	5;08.11	5.66667	0	1	0	0	2	25	0	0	0	1	0	5	0	0	4	0	0	19	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise1_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	77	24	4;02.12	4.16667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise2_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	118	29	4;03.17	4.25	0	0	0	0	0	11	1	0	0	1	0	0	0	0	1	0	0	5	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise3_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	129	36	4;05.30	4.41667	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise4_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	172	51	4;07.05	4.58333	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	4	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise5_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	147	35	4;07.05	4.58333	0	0	1	0	1	2	0	0	0	0	0	2	0	0	1	1	0	6	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise6_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	190	54	4;07.05	4.58333	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	1	0	2	x
