fichier	dossier	loc	age	utt	token	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	cest+que	ya+++qu	ya+qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/adeline1_gif.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	15	761	3;03.17	0	0	0	14	5	48	1	0	0	0	0	8	1	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/adeline1_sch.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	1	838	5;	0	0	0	15	3	57	1	0	6	1	0	1	0	0	0	0	0	0	1	11	
../tcof/chi-trans-metaok/Adelphe1_Per_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	1	682	3;09.17	1	0	0	8	5	59	3	0	3	4	2	2	0	0	0	0	0	0	0	4	
../tcof/chi-trans-metaok/Aela1_Ber_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	16	1170	4;04.24	0	1	0	5	2	73	11	0	1	0	3	2	4	0	0	0	0	0	0	19	
../tcof/chi-trans-metaok/Alban1_Tah_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	7	439	5;03.17	0	3	0	3	4	17	0	0	2	1	0	1	1	1	1	1	0	1	1	5	
../tcof/chi-trans-metaok/alexandre1_bod.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	19	482	3;05.30	0	0	0	0	0	21	0	0	3	0	0	0	1	1	0	0	0	0	0	5	
../tcof/chi-trans-metaok/alexandre1_dag.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	30	433	3;05.30	0	0	0	5	1	16	2	0	1	0	0	0	3	2	0	0	0	0	0	1	
../tcof/chi-trans-metaok/alexandre1_lin.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	248	3;05.30	0	1	0	0	0	19	1	0	4	0	0	1	1	1	0	0	0	0	1	4	
../tcof/chi-trans-metaok/alexis1_ras.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	430	4;08.11	0	0	0	1	2	26	4	0	1	0	0	0	2	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/alice1_cor.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	664	4;01.05	1	0	0	5	3	51	6	0	0	0	3	3	3	0	0	0	0	0	0	15	
../tcof/chi-trans-metaok/Alicia1_Bre_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	175	4;01.05	1	0	0	0	1	3	0	0	2	0	0	0	5	3	0	0	0	0	0	1	
