alors	ADV	alors
euh	INT	euh
je	PRO:cls	je
voulais	VER:impf	vouloir
savoir	VER:infi	savoir
si	KON	si
vous	PRO:cls	vous
pouviez	VER:impf	pouvoir
me	PRO:clo	me
raconter	VER:infi	raconter
euh	INT	euh
u-	TRC	u-
un	DET:ind	un
évènement	NOM	<unknown>
de	PRP	de
votre	DET:pos	votre
vie	NOM	vie
qui	PRO:rel	qui
vous	PRO:cls	vous
à	PRP	à
particulièrement	ADV	particulièrement
marqué	VER:pper	marquer
oui	FNO	oui
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
évènement	NOM	<unknown>
de	PRP	de
ma	DET:pos	mon
vie	NOM	vie
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
particulièrement	ADV	particulièrement
marqué	VER:pper	marquer
surtout	ADV	surtout
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
vraiment	ADV	vraiment
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
très	ADV	très
très	ADV	très
longtemps	ADV	longtemps
que	KON	que
j'	PRO:cls	je
étais	VER:impf	être
toute	ADV	tout
petite	ADJ	petit
j'	PRO:cls	je
avais	VER:impf	avoir
deux	NUM	@card@
ans	NOM	an
et	KON	et
demi	NOM	demi
au	PRP:det	au
mois	NOM	mois
de	PRP	de
septembre	NOM	septembre
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
déclaration	NOM	déclaration
de	PRP	de
guerre	NOM	guerre
on	PRO:cls	on
entre	PRP	entre
en	PRP	en
guerre	NOM	guerre
la	DET:def	le
France	NAM	France
entre	PRP	entre
en	PRP	en
guerre	NOM	guerre
avec	PRP	avec
l'	DET:def	le
Allemagne	NAM	Allemagne
donc	ADV	donc
l'	DET:def	le
hiver	NOM	hiver
se	PRO:clo	se
passe	VER:pres	passer
euh	INT	euh
la	DET:def	le
guerre	NOM	guerre
évolue	VER:pres	évoluer
et	KON	et
en	PRP	en
avril	NOM	avril
six	NUM	@card@
mois	NOM	mois
après	ADV	après
mon	DET:pos	mon
père	NOM	père
est	AUX:pres	être
réquisitionné	VER:pper	réquisitionner
pour	PRP	pour
partir	VER:infi	partir
en	PRP	en
Allemagne	NAM	Allemagne
pour	PRP	pour
être	VER:infi	être
ouvrier	ADJ	ouvrier
agricole	ADJ	agricole
dans	PRP	dans
les	DET:def	le
fermes	NOM	ferme
et	KON	et
moi	PRO:ton	moi
à	PRP	à
l'	DET:def	le
époque	NOM	époque
j'	PRO:cls	je
avais	VER:impf	avoir
trois	NUM	@card@
ans	NOM	an
donc	ADV	donc
mon	DET:pos	mon
père	NOM	père
euh	INT	euh
qui	PRO:rel	qui
est	AUX:pres	être
parti	VER:pper	partir
je	PRO:cls	je
je	PRO:cls	je
je	PRO:cls	je
n'	ADV	ne
en	PRO:clo	en
ai	VER:pres	avoir
aucun	DET:ind	aucun
souvenir	NOM	souvenir
quand	KON	quand
il	PRO:cls	il
est	AUX:pres	être
parti	VER:pper	partir
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
absolument	ADV	absolument
rien	PRO:ind	rien
à	PRP	à
trois	NUM	@card@
ans	NOM	an
je	PRO:cls	je
me	PRO:clo	me
rappelais	VER:impf	rappeler
pas	ADV	pas
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
du	PRP:det	du
tout	ADV	tout
de	PRP	de
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
vivait	VER:impf	vivre
à	PRP	à
trois	NUM	@card@
ans	NOM	an
qu-	TRC	qu-
quand	KON	quand
j'	PRO:cls	je
avais	VER:impf	avoir
trois	NUM	@card@
ans	NOM	an
-moi	PRO:clo	moi
