enregistrement	NOM	enregistrement
numéro	NOM	numéro
deux	NUM	@card@
Ahlem	NOM	<unknown>
douze	NUM	@card@
octobre	NOM	octobre
quatre-vingt-dix-neuf	NUM	@card@
rouge	NOM	rouge
allez	INT	allez
tu	PRO:cls	tu
me	PRO:clo	me
le	PRO:clo	le
donnes	VER:pres	donner
je	PRO:cls	je
vais	VER:pres	aller
le	PRO:clo	le
lire	VER:infi	lire
je	PRO:cls	je
veux	VER:pres	vouloir
pas	ADV	pas
le	DET:def	le
livre	NOM	livre
là	ADV	là
non	FNO	non
mais	KON	mais
tu	PRO:cls	tu
me	PRO:clo	me
tu	PRO:cls	tu
m'	PRO:clo	me
écoutes	VER:pres	écouter
l'	DET:def	le
histoire	NOM	histoire
.	NAM	<unknown>
Le	DET:def	le
nouveau	ADJ	nouveau
dentifrice	NOM	dentifrice
de	PRP	de
Mélanie	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
peux	VER:pres	pouvoir
regarder	VER:infi	regarder
les	DET:def	le
images	NOM	image
un	DET:ind	un
matin	NOM	matin
au	PRP:det	au
petit	ADJ	petit
déjeuner	NOM	déjeuner
Mélanie	NAM	<unknown>
trouve	VER:pres	trouver
une	DET:ind	un
surprise	NOM	surprise
à	PRP	à
coté	NOM	coté
de	PRP	de
son	DET:pos	son
bol	NOM	bol
Mélanie	NAM	<unknown>
ouvre	VER:impe	ouvrir
son	DET:pos	son
petit	ADJ	petit
paquet	NOM	paquet
pendant	PRP	pendant
qu'	KON	que
Emile	NOM	<unknown>
et	KON	et
Florence	NOM	florence
Freddy	NOM	<unknown>
tu	PRO:cls	tu
t'	PRO:clo	te
asseois	NOM	<unknown>
là	ADV	là
viens	VER:impe	venir
là	ADV	là
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
Freddy	ADJ	<unknown>
Freddy	NOM	<unknown>
si	KON	si
je	PRO:cls	je
me	PRO:clo	me
lève	VER:pres	lever
ça	PRO:cls	ça
va	VER:pres	aller
aller	VER:infi	aller
très	ADV	très
mal	ADV	mal
pour	PRP	pour
tes	DET:pos	ton
fesses	NOM	fesse
non	FNO	non
tu	PRO:cls	tu
restes	VER:pres	rester
allongé	ADJ	allongé
et	KON	et
je	PRO:cls	je
veux	VER:pres	vouloir
pas	ADV	pas
te	PRO:clo	te
voir	VER:infi	voir
bouger	VER:infi	bouger
ou	KON	ou
assis	VER:pper	asseoir
mais	KON	mais
je	PRO:cls	je
ne	ADV	ne
veux	VER:pres	vouloir
pas	ADV	pas
te	PRO:clo	te
voir	VER:infi	voir
bouger	VER:infi	bouger
de	PRP	de
ce	DET:dem	ce
matelas	NOM	matelas
merci	FNO	merci
Mélanie	NAM	<unknown>
ouvre	VER:impe	ouvrir
son	DET:pos	son
petit	ADJ	petit
paquet	NOM	paquet
pendant	PRP	pendant
qu'	KON	que
Emile	NOM	<unknown>
et	KON	et
Florence	NOM	florence
mangent	VER:pres	manger
leurs	DET:pos	leur
céréales	NOM	céréale
dans	PRP	dans
le	DET:def	le
paquet	NOM	paquet
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
nouveau	ADJ	nouveau
tube	NOM	tube
de	PRP	de
dentifrice	NOM	dentifrice
Mélanie	NOM	<unknown>
dit	VER:pper	dire
hum	FNO	hum
ça	PRO:cls	ça
sent	VER:pres	sentir
bon	INT	bon
son	DET:pos	son
frère	NOM	frère
dit	VER:pper	dire
oh	INT	oh
ça	PRO:cls	ça
sent	VER:pres	sentir
la	DET:def	le
framboise	NOM	framboise
Mélanie	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
la	DET:def	le
petite	ADJ	petit
framboise	NOM	framboise
qui	PRO:rel	qui
est	AUX:pres	être
dessinée	VER:pper	dessiner
sur	PRP	sur
le	DET:def	le
tube	NOM	tube
.	NAM	<unknown>
Mélanie	NAM	<unknown>
finit	VER:pres	finir
de	PRP	de
déjeuner	VER:infi	déjeuner
la	DET:def	le
première	ADJ	premier
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
envie	NOM	envie
d'	PRP	un
essayer	VER:infi	essayer
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
son	DET:pos	son
nouveau	ADJ	nouveau
dentifrice	NOM	dentifrice
Mélanie	NOM	<unknown>
étale	ADJ	étale
le	DET:def	le
dentifrice	NOM	dentifrice
sur	PRP	sur
sa	DET:pos	son
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
en	PRP	en
appuyant	VER:ppre	appuyer
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
sur	PRP	sur
le	DET:def	le
tube	NOM	tube
Mélanie	NAM	<unknown>
commence	VER:pres	commencer
à	PRP	à
se	PRO:clo	se
frotter	VER:infi	frotter
doucement	ADV	doucement
les	DET:def	le
dents	NOM	dent
comme	KON	comme
le	DET:def	le
dentifrice	NOM	dentifrice
ne	ADV	ne
pique	VER:pres	piquer
pas	ADV	pas
Mélanie	NOM	<unknown>
brosse	VER:pres	brosser
bien	ADV	bien
toutes	DET:pre	tout
ses	DET:pos	son
dents	NOM	dent
Mélanie	NAM	<unknown>
a	AUX:pres	avoir
pris	VER:pper	prendre
un	DET:ind	un
peu	NOM	peu
d'	PRP	un
eau	NOM	eau
dans	PRP	dans
son	DET:pos	son
gobelet	NOM	gobelet
pour	PRP	pour
se	PRO:clo	se
rincer	VER:infi	rincer
la	DET:def	le
bouche	NOM	bouche
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
gobelet	NOM	gobelet
Mélanie	NAM	<unknown>
crache	VER:pres	cracher
dans	PRP	dans
le	DET:def	le
lavabo	NOM	lavabo
Emile	NOM	<unknown>
et	KON	et
Florence	NOM	florence
ont	AUX:pres	avoir
fini	VER:pper	finir
de	PRP	de
déjeuner	VER:infi	déjeuner
Mélanie	NOM	<unknown>
dit	VER:pper	dire
hum	FNO	hum
il	PRO:cls	il
est	VER:pres	être
bon	INT	bon
le	DET:def	le
dentifrice	NOM	dentifrice
à	PRP	à
la	DET:def	le
tiens	ADJ	tien
Florence	NOM	florence
-le	PRO:clo	le
goûte	VER:pres	goûter
en	PRP	en
regardant	VER:ppre	regarder
si	KON	si
les	DET:def	le
dents	NOM	dent
de	PRP	de
Mélanie	NOM	<unknown>
sont	VER:pres	être
sont	VER:pres	être
bien	ADV	bien
propres	ADJ	propre
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
en	PRP	en
regardant	VER:ppre	regarder
si	KON	si
les	DET:def	le
dents	NOM	dent
de	PRP	de
Mélanie	NOM	<unknown>
sont	VER:pres	être
bien	ADV	bien
propres	ADJ	propre
maman	NOM	maman
dit	VER:pper	dire
oh	INT	oh
tu	PRO:cls	tu
sens	VER:pres	sentir
bon	INT	bon
la	DET:def	le
framboise	NOM	framboise
ma	DET:pos	mon
chérie	ADJ	chéri
Mélanie	NOM	<unknown>
répond	VER:pres	répondre
tu	PRO:cls	tu
sais	VER:pres	savoir
maman	NOM	maman
il	PRO:cls	il
ne	ADV	ne
pique	VER:pres	piquer
même	ADV	même
pas	ADV	pas
mon	DET:pos	mon
nouveau	ADJ	nouveau
dentifrice	NOM	dentifrice
Mélanie	NAM	<unknown>
a	AUX:pres	avoir
rangé	VER:pper	ranger
son	DET:pos	son
tube	NOM	tube
dans	PRP	dans
son	DET:pos	son
gobelet	NOM	gobelet
avec	PRP	avec
sa	DET:pos	son
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
elle	PRO:cls	elle
pose	VER:pres	poser
le	DET:def	le
gobelet	NOM	gobelet
sur	PRP	sur
la	DET:def	le
petite	ADJ	petit
étagère	NOM	étagère
de	PRP	de
la	DET:def	le
salle	NOM	salle
de	PRP	de
bain	NOM	bain
Emile	NOM	<unknown>
ouvre	VER:impe	ouvrir
la	DET:def	le
porte	NOM	porte
de	PRP	de
la	DET:def	le
maison	NOM	maison
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
heure	NOM	heure
de	PRP	de
partir	VER:infi	partir
à	PRP	à
l'	DET:def	le
école	NOM	école
maman	NOM	maman
dit	VER:pper	dire
à	PRP	à
Mélanie	NOM	<unknown>
de	PRP	de
donner	VER:infi	donner
la	DET:def	le
main	NOM	main
à	PRP	à
sa	DET:pos	son
grande	ADJ	grand
soeur	NOM	soeur
Florence	NOM	florence
jusqu'	PRP	jusque
à	PRP	à
l'	DET:def	le
école	NOM	école
maternelle	ADJ	maternel
tu	PRO:cls	tu
veux	VER:pres	vouloir
le	PRO:clo	le
faire	VER:infi	faire
tout	ADV	tout
de	PRP	de
suite	NOM	suite
toi	PRO:ton	toi
