pleines	ADJ	plein
d'	PRP	un
autres	ADJ	autre
la	DET:def	le
mère	NOM	mère
Michèle	NOM	<unknown>
.	NAM	<unknown>
alors	ADV	alors
on	PRO:cls	on
va	VER:pres	aller
prendre	VER:infi	prendre
mon	DET:pos	mon
mon	DET:pos	mon
livre	NOM	livre
hum	FNO	hum
tu	PRO:cls	tu
voudras	VER:futu	vouloir
qu'	KON	que
on	PRO:cls	on
prenne	VER:subp	prendre
ton	DET:pos	ton
livre	NOM	livre
.	NAM	<unknown>
oui	FNO	oui
je	PRO:cls	je
vais	VER:pres	aller
le	PRO:clo	le
prendre	VER:infi	prendre
maintenant	ADV	maintenant
parce	TRC	parce
que	KON	que
parce	TRC	parce
que	KON	que
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
le	PRO:clo	le
chercher	VER:infi	chercher
.	ADJ	<unknown>
xxx	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
vert	ADJ	vert
Polochon	NOM	polochon
ah	INT	ah
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
avec	PRP	avec
Polochon	NOM	polochon
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
jolie	ADJ	joli
xxx	NOM	<unknown>
queue	NOM	queue
verte	ADJ	vert
ouais	FNO	ouais
ouais	FNO	ouais
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
truc	NOM	truc
violet	ADJ	violet
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ce	DET:dem	ce
truc	NOM	truc
.	NAM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
.	NAM	<unknown>
ça	PRO:cls	ça
.	VER:cond	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:cls	il
est	VER:pres	être
jaune	ADJ	jaune
il	PRO:cls	il
comme	KON	comme
ça	PRO:ton	ça
waouh	INT	waouh
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
très	ADV	très
beau	ADJ	beau
les	DET:def	le
sirènes	NOM	sirène
ça	PRO:cls	ça
vit	VER:pres	vivre
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
et	KON	et
voilà	FNO	voilà
ses	DET:pos	son
copines	NOM	copine
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tout	ADV	tout
rouge	ADJ	rouge
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
violet	ADJ	violet
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tout	ADV	tout
rouge	ADJ	rouge
aussi	ADV	aussi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
jaune	ADJ	jaune
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
jaune	ADJ	jaune
aussi	ADV	aussi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
vert	ADJ	vert
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
rouge	ADJ	rouge
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
violet	ADJ	violet
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
bleu	ADJ	bleu
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
rouge	ADJ	rouge
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
jaune	ADJ	jaune
elles	PRO:cls	elle
ont	VER:pres	avoir
des	DET:ind	un
queues	NOM	queue
magnifiques	ADJ	magnifique
et	KON	et
de	PRP	de
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
et	KON	et
ça	PRO:ton	ça
et	KON	et
elle	PRO:ton	elle
euh	INT	euh
euh	INT	euh
un	DET:ind	un
élastique	NOM	élastique
tout	ADV	tout
rouge	ADJ	rouge
rouge	NOM	rouge
et	KON	et
rouge	NOM	rouge
et	KON	et
elle	PRO:cls	elle
rose	VER:pres	roser
et	KON	et
rose	ADJ	rose
et	KON	et
violet	ADJ	violet
et	KON	et
elle	PRO:cls	elle
jaune	ADJ	jaune
et	KON	et
