on	ouh
pro:subj	tu
v:exist	être
n	malade
PCT	.
co	hum
PCT	.
adv:yn	oui
PCT	?
conj	alors
prep	de
pro:int	quoi
?	est–ce
conj	que
pro:dem	ça
v	parler
adv:place	là
PCT	?
PCT	.
det&MASC&SING	le
n	début
prep	de
det&SING	le/la
n	histoire
PCT	?
PCT	.
pro:dem	ça
v	parler
prep	de
pro:int	qui
PCT	?
co	hein
PCT	?
prep	de
det&FEM&SING	une
adj	petit
n	fille
pro:rel	qui
pro:refl	se
v	appeler
adv:int	comment
PCT	?
pro:subj	vous
pro:subj	vous
v	rappeler
PCT	?
n:prop	Elfie
PCT	.
n:prop	Elfie
PCT	.
adv:yn	oui
PCT	.
adj-MASC	super^adj|super
PCT	.
n:prop	Elfie
conj	et
adv	alors
PCT	?
PCT	.
pro:subj&FEM	elle
v:aux	avoir
v-PP	donner
det:poss&MASC&SING	son
n	nom
PCT	.
adv	tout+à+l'heure
pro:subj	vous
pro:refl	me
v:aux	avoir
v-PP	donner
det:poss	votre
n	nom
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
conj	et
?	est–ce
conj	que
PCT	.
pro:subj	vous
v:poss	avoir
det&MASC&SING	le
adj	même
n	nom
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
conj	et
det&MASC&SING	le
adj	même
n	prénom
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
?	est–ce
conj	que
pro:subj	vous
v	connaître
pro	quelqu'un
PCT	.
pro:int	qui
v:poss	avoir
det&MASC&SING	le
adj	même
co	euh
n	prénom
conj	que
pro:subj	vous
PCT	?
adv:yn	oui
pro&SING	moi
PCT	.
pro:subj	tu
v	connaître
pro	quelqu'un
PCT	?
adv:yn	oui
PCT	.
pro:int	qui
v:exist	c'est
PCT	?
co	euh
v:exist	c'est
co	euh
det&FEM&SING	une
n	fille
co	euh
PCT	.
co	euh
v:exist	c'est
det&FEM&SING	une
n	copine
prep	à
det:poss&SING	ma
n	mamie
PCT	.
adv:yn	ouais
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
v	connaître
pro	quelqu'un
PCT	.
pro:int	qui
v:poss	avoir
det&MASC&SING	le
adj	même
n	prénom
conj	que
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
conj	et
det:dem&SING	cette
n	fille
PCT	.
pro:subj&FEM	elle
v:exist	être
det&FEM&SING	la
adj	même
?	fi–
PCT	.
pro:subj&FEM	elle
v:exist	être
prep	comme
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
conj	mais
pro:subj&FEM	elle
v:poss	avoir
det&MASC&SING	le
adj	même
n	prénom
PCT	?
adv:yn	oui
PCT	.
?	est–ce
conj	que
pro:subj	vous
v	croire^v|croître
conj	que
prep	dans
det&MASC&SING	le
n	monde
PCT	.
