voilà	FNO	voilà
on	PRO:cls	on
va	VER:pres	aller
je	PRO:cls	je
vous	PRO:clo	vous
enregistre	VER:pres	enregistrer
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
histoire	NOM	histoire
d'	PRP	un
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
se	PRO:clo	se
pose	VER:pres	poser
beaucoup	ADV	beaucoup
de	PRP	de
questions	NOM	question
hein	INT	hein
?	NAM	<unknown>
au	PRP:det	au
hum	FNO	hum
ben	INT	ben
début	NOM	début
elle	PRO:cls	elle
commence	VER:pres	commencer
par	PRP	par
parler	VER:infi	parler
des	DET:ind	un
prénoms	NOM	prénom
et	KON	et
des	DET:ind	un
noms	NOM	nom
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
elle	PRO:cls	elle
nous	PRO:clo	nous
donne	VER:pres	donner
les	DET:def	le
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
elle	PRO:cls	elle
avait	AUX:impf	avoir
donné	VER:pper	donner
le	DET:def	le
sien	NOM	sien
si	KON	si
vous	PRO:cls	vous
lui	PRO:clo	lui
donnez	VER:pres	donner
/leles/	MLT	<unknown>
vôtre	ADJ	vôtre
bon	INT	bon
vous	PRO:cls	vous
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
d'	DET:ind	un
autres	ADJ	autre
petites	ADJ	petit
filles	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appellent	VER:pres	appeler
comme	KON	comme
vous	PRO:cls	vous
.	VER:cond	<unknown>
non	FNO	non
moi	PRO:ton	moi
je	PRO:cls	je
connais	VER:pres	connaître
moi	PRO:ton	moi
je	PRO:cls	je
connais	VER:pres	connaître
ma	DET:pos	mon
grande	ADJ	grand
cousine	NOM	cousine
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
Anaïs	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
?	NAM	<unknown>
tu	PRO:cls	tu
la	PRO:clo	le
connais	VER:pres	connaître
.	NAM	<unknown>
non	FNO	non
non	FNO	non
tu	PRO:cls	tu
connais	VER:pres	connaître
personne	PRO:ind	personne
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
Anaïs	NAM	<unknown>
?	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
non	FNO	non
et	KON	et
toi	PRO:ton	toi
tu	PRO:cls	tu
connais	VER:pres	connaître
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
non	FNO	non
