alors	ADV	alors
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
retour	NOM	retour
en	PRP	en
France	NAM	France
depuis	PRP	depuis
la	DET:def	le
Corée	NAM	<unknown>
euh	INT	euh
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
retour	NOM	retour
en	PRP	en
France	NAM	France
c'	PRO:cls	ce
est	VER:pres	être
triste	ADJ	triste
c'	PRO:cls	ce
est	VER:pres	être
triste	ADJ	triste
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
mais	KON	mais
euh	INT	euh
euh	INT	euh
vu	VER:pper	voir
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
beaucoup	ADV	beaucoup
apprécié	VER:pper	apprécier
mon	DET:pos	mon
année	NOM	année
en	PRP	en
Corée	NAM	<unknown>
j'	PRO:cls	je
étais	VER:impf	être
un	DET:ind	un
peu	NOM	peu
à	PRP	à
la	DET:def	le
fois	NOM	fois
content	ADJ	content
de	PRP	de
retrouver	VER:infi	retrouver
les	DET:def	le
gens	NOM	gens
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
perdus	VER:pper	perdre
en	PRP	en
France	NAM	France
et	KON	et
en	PRP	en
même	ADJ	même
temps	NOM	temps
euh	INT	euh
ouais	FNO	ouais
voilà	FNO	voilà
je	PRO:cls	je
savais	VER:impf	savoir
que	KON	que
la	DET:def	le
Corée	NAM:sig	<unknown>
allait	VER:impf	aller
me	PRO:clo	me
manquer	VER:infi	manquer
euh	INT	euh
les	DET:def	le
habitudes	NOM	habitude
là-bas	ADV	là-bas
donc	ADV	donc
euh	INT	euh
un	DET:ind	un
peu	NOM	peu
mixte	ADJ	mixte
ouais	FNO	ouais
mais	KON	mais
il	PRO:clsi	il
me	PRO:clo	me
semble	VER:pres	sembler
¤Pren¤	NAM	<unknown>
m'	PRO:clo	me
avait	AUX:impf	avoir
dit	VER:pper	dire
que	KON	que
tu	PRO:cls	tu
avais	AUX:impf	avoir
eu	VER:pper	avoir
des	DET:ind	un
soucis	NOM	souci
euh	INT	euh
en	PRP	en
t'	PRO:clo	te
in-	TRC	in-
enfin	ADV	enfin
des	DET:ind	un
soucis	NOM	souci
en	PRP	en
t'	PRO:clo	te
installant	VER:ppre	installer
tu	PRO:cls	tu
étais	VER:impf	être
sur	PRP	sur
un	DET:ind	un
campus	NOM	campus
mais	KON	mais
au	PRP:det	au
final	NOM	final
tu	PRO:cls	tu
as	AUX:pres	avoir
fini	VER:pper	finir
dans	PRP	dans
un	DET:ind	un
appart	NOM:trc	appartement
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
passé	VER:pper	passer
ce	PRO:dem	ce
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
non	FNO	non
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
peu	NOM	peu
près	ADV	près
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
dans	PRP	dans
l'	DET:def	le
idée	NOM	idée
euh	INT	euh
je	PRO:cls	je
devais	VER:impf	devoir
faire	VER:infi	faire
donc	ADV	donc
un	DET:ind	un
an	NOM	an
en	PRP	en
Corée	NAM	<unknown>
du	PRP:det	du
Sud	NOM	sud
en	PRP	en
échange	NOM	échange
et	KON	et
euh	INT	euh
le	DET:def	le
le	DET:def	le
logement	NOM	logement
se	PRO:clo	se
faisait	VER:impf	faire
dans	PRP	dans
les	DET:def	le
dortoirs	NOM	dortoir
sur	PRP	sur
six	NUM	@card@
mois	NOM	mois
donc	ADV	donc
par	PRP	par
semestre	NOM	semestre
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
en	PRP	en
gros	ADJ	gros
l'	DET:def	le
idée	NOM	idée
c'	PRO:cls	ce
était	VER:impf	être
pour	PRP	pour
moi	PRO:ton	moi
bon	INT	bon
ben	INT	ben
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
un	DET:ind	un
premier	ADJ	premier
semestre	NOM	semestre
en	PRP	en
dortoir	NOM	dortoir
parce	TRC	parce
que	KON	que
déjà	ADV	déjà
ça	PRO:cls	ça
coûte	VER:pres	coûter
moins	ADV	moins
cher	ADJ	cher
et	KON	et
en	PRP	en
plus	ADV	plus
ça	PRO:cls	ça
me	PRO:clo	me
donnera	VER:futu	donner
le	DET:def	le
temps	NOM	temps
de	PRP	de
découvrir	VER:infi	découvrir
le	DET:def	le
pays	NOM	pays
histoire	NOM	histoire
de	PRP	de
bien	ADV	bien
m'	PRO:clo	me
habituer	VER:infi	habituer
et	KON	et
euh	INT	euh
peut-être	ADV	peut-être
pour	PRP	pour
le	DET:def	le
deuxième	ADJ	deuxième
semestre	NOM	semestre
si	KON	si
ça	PRO:cls	ça
m-	TRC	m-
si	KON	si
ça	PRO:cls	ça
m-	TRC	m-
me	PRO:clo	me
tente	VER:pres	tenter
euh	INT	euh
je	PRO:cls	je
prendrai	VER:futu	prendre
un	DET:ind	un
appartement	NOM	appartement
sauf	PRP	sauf
qu'	PRO:int	quoi
arrivé	VER:pper	arriver
en	PRP	en
Corée	NAM	<unknown>
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
aperçu	VER:pper	apercevoir
euh	INT	euh
pendant	PRP	pendant
la	DET:def	le
première	ADJ	premier
semaine	NOM	semaine
dans	PRP	dans
les	DET:def	le
dortoirs	NOM	dortoir
ils	PRO:cls	il
nous	PRO:clo	nous
ont	AUX:pres	avoir
tous	PRO:ind	tout
mis	VER:pper	mettre
les	DET:def	le
Français	NOM	français
euh	INT	euh
au	PRP:det	au
même	ADJ	même
étage	NOM	étage
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
ouais	FNO	ouais
ouais	FNO	ouais
et	KON	et
euh	INT	euh
et	KON	et
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
avait	VER:impf	avoir
aussi	ADV	aussi
un	DET:ind	un
couvre-feu	NOM	<unknown>
à	PRP	à
vingt-trois	NOM	<unknown>
heures	NOM	heure
donc	ADV	donc
ce	PRO:dem	ce
qui	PRO:rel	qui
faisait	VER:impf	faire
qu'	KON	que
à	PRP	à
partir	VER:infi	partir
de	PRP	de
vingt-trois	NUM	<unknown>
heures	NOM	heure
un	DET:ind	un
couvre-feu	NOM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
nous	PRO:ton	nous
on	PRO:cls	on
n'	ADV	ne
était	AUX:impf	être
pas	ADV	pas
obligé	VER:pper	obliger
d'	PRP	un
aller	VER:infi	aller
dans	PRP	dans
le	DET:def	le
lit	NOM	lit
ouais	FNO	ouais
ouais	FNO	ouais
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
mais	KON	mais
on	PRO:cls	on
devait	VER:impf	devoir
rester	VER:infi	rester
dans	PRP	dans
nos	DET:pos	notre
dans	PRP	dans
nos	DET:pos	notre
chambres	NOM	chambre
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
des	DET:ind	un
chambres	NOM	chambre
de	PRP	de
trois	NUM	@card@
à	PRP	à
quatre	NUM	@card@
personnes	NOM	personne
et	KON	et
euh	INT	euh
en	PRP	en
gros	ADJ	gros
tu	PRO:cls	tu
tu	PRO:cls	tu
étais	VER:impf	être
plus	ADV	plus
en	PRP	en
Corée	NAM	<unknown>
à	PRP	à
partir	VER:infi	partir
de	PRP	de
vingt-trois	NUM	<unknown>
heures	NOM	heure
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
étais	VER:impf	être
déjà	ADV	déjà
avec	PRP	avec
des	DET:ind	un
Français	NOM	français
ouais	FNO	ouais
et	KON	et
en	PRP	en
plus	ADV	plus
ben	INT	ben
tu	PRO:cls	tu
pouvais	VER:impf	pouvoir
pas	ADV	pas
sortir	VER:infi	sortir
donc	ADV	donc
euh	INT	euh
hum	FNO	hum
et	KON	et
à	PRP	à
partir	VER:infi	partir
de	PRP	de
là	ADV	là
je	PRO:cls	je
savais	VER:impf	savoir
que	KON	que
pendant	PRP	pendant
un	DET:ind	un
semestre	NOM	semestre
j'	PRO:cls	je
allais	VER:impf	aller
rater	VER:infi	rater
des	DET:ind	un
choses	NOM	chose
et	KON	et
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
une	DET:ind	un
opportunité	NOM	opportunité
avec	PRP	avec
une	DET:ind	un
amie	NOM	amie
euh	INT	euh
d'	PRP	un
avoir	VER:infi	avoir
un	DET:ind	un
appartement	NOM	appartement
assez	ADV	assez
facilement	ADV	facilement
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
euh	INT	euh
-y	PRO:clo	y
vas	VER:impe	aller
en	PRO:clo	en
plus	ADV	plus
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
beaucoup	ADV	beaucoup
plus	ADV	plus
cher	ADJ	cher
financièrement	ADV	financièrement
donc	ADV	donc
ça	PRO:cls	ça
va	VER:pres	aller
ça	PRO:cls	ça
allait	VER:impf	aller
pas	ADV	pas
d'	PRP	un
accord	NOM	accord
bouleverser	VER:infi	bouleverser
mon	DET:pos	mon
budget	NOM	budget
et	KON	et
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
les	DET:def	le
amis	NOM	ami
que	KON	que
tu	PRO:cls	tu
as	AUX:pres	avoir
rencontrés	VER:pper	rencontrer
avec	PRP	avec
qui	PRO:rel	qui
tu	PRO:cls	tu
es	VER:pres	être
ami	NOM	ami
maintenant	ADV	maintenant
à	PRP	à
Paris	NAM	Paris
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
gens	NOM	gens
que	KON	que
tu	PRO:cls	tu
as	AUX:pres	avoir
rencontrés	VER:pper	rencontrer
