alors	ADV	alors
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
aimerait	VER:cond	aimer
parler	VER:infi	parler
euh	INT	euh
du	PRP:det	du
sujet	NOM	sujet
de	PRP	de
l'	DET:def	le
homosexualité	NOM	homosexualité
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
un	DET:ind	un
sujet	NOM	sujet
important	ADJ	important
qui	PRO:rel	qui
a	AUX:pres	avoir
beaucoup	ADV	beaucoup
fait	VER:pper	faire
parler	VER:infi	parler
euh	INT	euh
notamment	ADV	notamment
ces	DET:dem	ce
derniers	ADJ	dernier
temps	NOM	temps
oui	FNO	oui
bien	ADV	bien
sûr	ADJ	sûr
euh	INT	euh
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
à	PRP	à
dire	VER:infi	dire
là-dessus	ADV	là-dessus
ben	INT	ben
beaucoup	ADV	beaucoup
de	PRP	de
choses	NOM	chose
j'	PRO:cls	je
imagine	VER:pres	imaginer
effectivement	ADV	effectivement
comme	KON	comme
tu	PRO:cls	tu
l'	PRO:clo	le
as	VER:pres	avoir
si	KON	si
bien	ADV	bien
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
=n=	NOM:sig	<unknown>
un	DET:ind	un
sujet	NOM	sujet
qui	PRO:rel	qui
est	AUX:pres	être
revenu	VER:pper	revenir
euh	INT	euh
sur	PRP	sur
le	DET:def	le
devant	NOM	devant
de	PRP	de
la	DET:def	le
scène	NOM	scène
avec	PRP	avec
la	DET:def	le
loi	NOM	loi
pour	PRP	pour
le	DET:def	le
mariage	NOM	mariage
pour	PRP	pour
tous	PRO:ind	tout
et	KON	et
ce	PRO:dem	ce
qui	PRO:rel	qui
a	AUX:pres	avoir
été	AUX:pper	être
assez	ADV	assez
navrant	ADJ	navrant
dans	PRP	dans
cette	DET:dem	ce
affaire	NOM	affaire
si	KON	si
je	PRO:cls	je
puis	KON	puis
dire	VER:infi	dire
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
voir	VER:infi	voir
euh	INT	euh
ben	INT	ben
finalement	ADV	finalement
la	DET:def	le
méchanceté	NOM	méchanceté
la	DET:def	le
la	DET:def	le
fermeture	NOM	fermeture
d'	PRP	un
esprit	NOM	esprit
le	DET:def	le
l'	DET:def	le
étroitesse	NOM	étroitesse
d'	PRP	un
esprit	NOM	esprit
de	PRP	de
certaines	DET:ind	certains
personnes	NOM	personne
et	KON	et
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
à	PRP	à
ce	DET:dem	ce
moment-là	NOM	<unknown>
on	PRO:cls	on
a	VER:pres	avoir
on	PRO:cls	on
s'	PRO:clo	se
est	AUX:pres	être
rendu	VER:pper	rendre
compte	NOM	compte
de	PRP	de
ce	PRO:dem	ce
que	PRO:rel	que
pensait	VER:impf	penser
réellement	ADV	réellement
les	DET:def	le
personnes	NOM	personne
euh	INT	euh
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
drôle	ADJ	drôle
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
malheureusement	ADV	malheureusement
de	PRP	de
de	PRP	de
voir	VER:infi	voir
ce	PRO:dem	ce
que	PRO:rel	que
pensaient	VER:impf	penser
véritablement	ADV	véritablement
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
rigoler	VER:infi	rigoler
bon	INT	bon
continue	VER:impe	continuer
continue	VER:impe	continuer
bon	INT	bon
ça	PRO:cls	ça
va	VER:pres	aller
durer	VER:infi	durer
minutes	NOM	minute
le	DET:def	le
truc	NOM	truc
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
parce	TRC	parce
que	KON	que
du	PRP:det	du
coup	NOM	coup
tu	PRO:cls	tu
penses	VER:pres	penser
que	KON	que
les	DET:def	le
gens	NOM	gens
sont	AUX:pres	être
ouverts	VER:pper	ouvrir
d'	PRP	un
esprits	NOM	esprit
tu	PRO:cls	tu
penses	VER:pres	penser
que	KON	que
voilà	FNO	voilà
homosexuel	NOM	homosexuel
hétérosexuel	ADJ	hétérosexuel
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
des	DET:ind	un
cadres	NOM	cadre
ou	KON	ou
finalement	ADV	finalement
normalement	ADV	normalement
on	PRO:cls	on
devrait	VER:cond	devoir
s'	PRO:clo	se
en	PRO:clo	en
moquer	VER:infi	moquer
avec	PRP	avec
qui	PRO:rel	qui
les	DET:def	le
gens	NOM	gens
couchent	VER:pres	coucher
avec	PRP	avec
qui	PRO:int	qui
avec	PRP	avec
qui	PRO:rel	qui
les	DET:def	le
gens	NOM	gens
aiment	VER:pres	aimer
c'	PRO:cls	ce
