tiens	INT	tiens
c'	PRO:cls	ce
est	AUX:pres	être
encore	ADV	encore
parti	VER:pper	partir
ça	PRO:ton	ça
xxx	NOM	<unknown>
.	NAM	<unknown>
Lucie	NAM	<unknown>
corpus	NOM	corpus
numéro	NOM	numéro
sept	NUM	@card@
nous	PRO:cls	nous
sommes	VER:pres	être
le	DET:def	le
¤C¤	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
quatorze	NUM	@card@
heures	NOM	heure
vingt	NUM	@card@
nous	PRO:cls	nous
sommes	VER:pres	être
dans	PRP	dans
la	DET:def	le
bibliothèque	NOM	bibliothèque
de	PRP	de
la	DET:def	le
salle	NOM	salle
des	PRP:det	du
moyens	NOM	moyen
.	NAM	<unknown>
comment	PRO:int	comment
ils	PRO:cls	il
s'	PRO:clo	se
appellent	VER:pres	appeler
lui	PRO:ton	lui
alors	ADV	alors
déjà	ADV	déjà
Ludovi-	NAM	<unknown>
Anaïs	NAM	<unknown>
Anaïs	NAM	<unknown>
Ludovic	NAM	<unknown>
Karim	NAM	<unknown>
le	DET:def	le
docteur	NOM	docteur
Madame	NOM	Madame
Adélina	NOM	<unknown>
la	DET:def	le
maman	NOM	maman
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
alors	ADV	alors
Anaïs	NAM	<unknown>
Ludovic	NAM	<unknown>
-vic	NAM	<unknown>
et	KON	et
voilà	FNO	voilà
a-	TRC	a-
Anaïs	NAM	<unknown>
Ana-	NAM	<unknown>
oui	FNO	oui
Anaïs	NAM	<unknown>
mais	KON	mais
alors	ADV	alors
tu	PRO:cls	tu
le	DET:def	le
oui	FNO	oui
mets	VER:impe	mettre
bien	ADV	bien
le	DET:def	le
livre	NOM	livre
à	PRP	à
plat	NOM	plat
euh	INT	euh
Ludovic	NAM	<unknown>
sont	VER:pres	être
sont	VER:pres	être
inquiets	ADJ	inquiet
pa-	TRC	pa-
comme	KON	comme
parce	TRC	parce
que	KON	que
Mademoiselle	NOM	mademoiselle
Adélina	NOM	<unknown>
n'	ADV	ne
est	AUX:pres	être
pas	ADV	pas
descendue	VER:pper	descendre
comme	KON	comme
d'	PRP	un
habitude	NOM	habitude
alors	ADV	alors
ils	PRO:cls	il
déci-	TRC	<unknown>
décident	VER:pres	décider
de	PRP	de
monter	VER:infi	monter
chez	PRP	chez
Madame	NOM	Madame
Adélina	NOM	<unknown>
qui	PRO:rel	qui
habite	VER:pres	habiter
au	PRP:det	au
deuxième	ADJ	deuxième
étage	NOM	étage
hum	FNO	hum
Anaïs	NAM	<unknown>
non	FNO	non
euh	INT	euh
Karim	NAM	<unknown>
.	NAM	<unknown>
Ludovic	NAM	<unknown>
Ludovic	NAM	<unknown>
frappe	VER:pres	frapper
trois	NUM	@card@
coups	NOM	coup
à	PRP	à
la	DET:def	le
porte	NOM	porte
comme	KON	comme
il	PRO:clsi	il
le	PRO:clo	le
fait	VER:pres	faire
d'	DET:ind	un
habitude	NOM	habitude
ah	INT	ah
une	DET:ind	un
toute	DET:ind	tout
petite	ADJ	petit
petite	ADJ	petit
voix	NOM	voix
répond	VER:pres	répondre
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
mon	DET:pos	mon
Ludovic	NOM	<unknown>
entre	PRP	entre
vite	ADV	vite
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
Ludovic	NAM	<unknown>
crie	VER:pres	crier
un	DET:ind	un
crie	VER:pres	crier
crie	VER:pres	crier
un	DET:ind	un
grand	ADJ	grand
cri	NOM	cri
en	PRP	en
voyant	VER:ppre	voir
que	KON	que
Madame	NOM	Madame
Adélina	NOM	<unknown>
est	AUX:pres	être
tombée	VER:pper	tomber
du	PRP:det	du
lit	NOM	lit
Madame	NOM	Madame
Adélina	NOM	<unknown>
essaye	VER:pres	essayer
de	PRP	de
faire	VER:infi	faire
rire	VER:infi	rire
Ludovic	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
j'	PRO:cls	je
ai	VER:pres	avoir
Ludovic	NAM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
voulu	VER:pper	vouloir
.	NAM	<unknown>
hum	FNO	hum
j'	PRO:cls	je
ai	AUX:pres	avoir
voulu	VER:pper	vouloir
sauter	VER:infi	sauter
sur	PRP	sur
mon	DET:pos	mon
lit	NOM	lit
co-	TRC	co-
comme	KON	comme
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
petite	ADJ	petit
eh	INT	eh
bien	ADV	bien
tu	PRO:cls	tu
vois	VER:pres	voir
je	PRO:cls	je
suis	AUX:pres	être
tombée	VER:pper	tomber
continue	VER:impe	continuer
et	KON	et
Ludovic	NAM	<unknown>
dit	VER:pres	dire
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
t'	PRO:clo	te
es	AUX:pres	être
fait	VER:pper	faire
mal	ADV	mal
.	VER:simp	<unknown>
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
mal	ADV	mal
à	PRP	à
la	DET:def	le
jambe	NOM	jambe
droite	ADJ	droit
je	PRO:cls	je
crois	VER:pres	croire
que	KON	que
tu	PRO:cls	tu
devrais	VER:cond	devoir
aller	VER:infi	aller
chercher	VER:infi	chercher
ta	DET:pos	ton
maman	NOM	maman
bien	ADV	bien
alors	ADV	alors
Ludovic	NAM	<unknown>
d-	TRC	d-
descend	VER:pres	descendre
xxx	NOM	<unknown>
je	PRO:cls	je
vais	VER:pres	aller
chercher	VER:infi	chercher
maman	NOM	maman
je	PRO:cls	je
vais	VER:pres	aller
chercher	VER:infi	chercher
maman	NOM	maman
je	PRO:cls	je
vais	VER:pres	aller
chercher	VER:infi	chercher
maman	NOM	maman
Madame	NOM	Madame
Adélina	NOM	<unknown>
est	AUX:pres	être
tombée	VER:pper	tomber
oui	FNO	oui
alors	ADV	alors
la	DET:def	le
maman	NOM	maman
de	PRP	de
de	PRP	de
Ludovic	NAM	<unknown>
et	KON	et
d'	PRP	un
Anaïs	NAM	<unknown>
a	VER:pres	avoir
ré-	TRC	ré-
a	AUX:pres	avoir
appelé	VER:pper	appeler
le	DET:def	le
docteur	NOM	docteur
la	DET:def	le
maman	NOM	maman
d'	PRP	un
Anaïs	NAM	<unknown>
et	KON	et
de	PRP	de
Ludovic	NAM	<unknown>
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
remettre	VER:infi	remettre
Ma-	TRC	ma-
Madame	NOM	Madame
Adélina	NOM	<unknown>
s-	TRC	s-
sur	PRP	sur
son	DET:pos	son
lit	NOM	lit
les	DET:def	le
enfants	NOM	enfant
sont	AUX:pres	être
restés	VER:pper	rester
dans	PRP	dans
l'	DET:def	le
escalier	NOM	escalier
pour	PRP	pour
pas	ADV	pas
déranger	VER:infi	déranger
le	DET:def	le
docteur	NOM	docteur
pendant	PRP	pendant
qu'	PRO:rel	que
il	PRO:clsi	il
examine	VER:pres	examiner
Mademoiselle	NOM	mademoiselle
Adélina	NOM	<unknown>
il	PRO:cls	il
répond	VER:pres	répondre
vous	PRO:cls	vous
avez	AUX:pres	avoir
eu	VER:pper	avoir
beaucoup	ADV	beaucoup
de	PRP	de
chance	NOM	chance
vous	PRO:cls	vous
vous	PRO:clo	vous
êtes	AUX:pres	être
pas	ADV	pas
cassée	VER:pper	casser
la	DET:def	le
jambe	NOM	jambe
oui	FNO	oui
oh	INT	oh
j'	PRO:cls	je
avais	AUX:impf	avoir
pas	ADV	pas
lu	VER:pper	lire
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
-y	PRO:clo	y
vas	VER:impe	aller
continue	VER:impe	continuer
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
xxx	NOM	<unknown>
pendant	PRP	pendant
ce	DET:dem	ce
temps-là	NOM	<unknown>
les	DET:def	le
enfants	NOM	enfant
ont	AUX:pres	avoir
couru	VER:pper	courir
à	PRP	à
la	DET:def	le
pharmacie	NOM	pharmacie
acheter	VER:infi	acheter
la	DET:def	le
pommade	NOM	pommade
qui	PRO:rel	qui
était	AUX:impf	être
écrit	VER:pper	écrire
sur	PRP	sur
la	DET:def	le
note	NOM	note
sur	PRP	sur
l'	DET:def	le
ordonnance	NOM	ordonnance
sur	PRP	sur
l'	DET:def	le
ordonnance	NOM	ordonnance
Anaïs	NAM	<unknown>
et	KON	et
Karim	NAM	<unknown>
trouvent	VER:pres	trouver
que	KON	que
la	DET:def	le
pommade	NOM	pommade
ne	ADV	ne
s-	TRC	s-
sent	VER:pres	sentir
pas	ADV	pas
bon	ADJ	bon
mais	KON	mais
Ludovic	NAM	<unknown>
trouve	VER:pres	trouver
que	KON	que
la	DET:def	le
sen-	NOM	<unknown>
que	KON	que
la	DET:def	le
pommade	NOM	pommade
sent	VER:pres	sentir
très	ADV	très
bon	INT	bon
oui	FNO	oui
oh	INT	oh
j'	PRO:cls	je
avais	AUX:impf	avoir
pas	ADV	pas
lu	VER:pper	lire
ça	PRO:ton	ça
mais	KON	mais
si	KON	si
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
dit	VER:pper	dire
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
Lucie	NAM	<unknown>
continue	VER:pres	continuer
alors	ADV	alors
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
Ludovic	NAM	<unknown>
Ludovic	NAM	<unknown>
masse	VER:pres	masser
doucement	ADV	doucement
la	DET:def	le
jambe	NOM	jambe
euh	INT	euh
qu'	KON	que
il	PRO:cls	il
était	AUX:impf	être
marqué	VER:pper	marquer
sur	PRP	sur
l'	DET:def	le
ordonnance	NOM	ordonnance
pendant	PRP	pendant
ce	DET:dem	ce
temps	NOM	temps
Anaïs	NAM	<unknown>
et	KON	et
Karim	NAM	<unknown>
sont	AUX:pres	être
allés	VER:pper	aller
acheter	VER:infi	acheter
des	DET:ind	un
fruits	NOM	fruit
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
discute	VER:pres	discuter
pendant	PRP	pendant
ce	DET:dem	ce
pendant	NOM	pendant
en	PRP	en
train	NOM	train
de	PRP	de
manger	VER:infi	manger
les	DET:def	le
fruits	NOM	fruit
pendant	PRP	pendant
qu'	KON	que
ils	PRO:cls	il
mangent	VER:pres	manger
les	DET:def	le
fruits	NOM	fruit
Madame	NOM	Madame
Adélina	NAM	<unknown>
se	PRO:clo	se
sent	VER:pres	sentir
un	DET:ind	un
peu	NOM	peu
fatiguée	ADJ	fatigué
alors	ADV	alors
tourne	VER:pres	tourner
la	DET:def	le
page	NOM	page
tourne	VER:pres	tourner
la	DET:def	le
page	NOM	page
voilà	FNO	voilà
a-	TRC	a-
Madame	NOM	Madame
Adélina	NAM	<unknown>
se	PRO:clo	se
sent	VER:pres	sentir
un	DET:ind	un
peu	NOM	peu
fatiguée	ADJ	fatigué
alors	ADV	alors
les	DET:def	le
enfants	NOM	enfant
ferment	NOM	ferment
doucement	ADV	doucement
la	DET:def	le
porte	NOM	porte
et	KON	et
puis	KON	puis
quand	KON	quand
ils	PRO:cls	il
ont	AUX:pres	avoir
fini	VER:pper	finir
de	PRP	de
manger	VER:infi	manger
ils	PRO:cls	il
reviennent	VER:pres	revenir
chercher	VER:infi	chercher
revoir	VER:infi	revoir
Madame	NOM	Madame
Adélina	NOM	<unknown>
Madame	NOM	Madame
Adélina	NOM	<unknown>
va	VER:pres	aller
si	KON	si
mieux	ADV	mieux
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
envie	NOM	envie
de	PRP	de
se	PRO:clo	se
faire	VER:infi	faire
belle	ADJ	beau
bé	NOM	<unknown>
car	NOM	car
elle	PRO:cls	elle
se	PRO:clo	se
trouve	VER:pres	trouver
ébouriffée	ADJ	ébouriffé
comme	KON	comme
une	DET:ind	un
sorcière	NOM	sorcière
avec	PRP	avec
ses	DET:pos	son
beaux	ADJ	beau
cheveux	NOM	cheveu
blancs	ADJ	blanc
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
fait	VER:pper	faire
deux	NUM	@card@
petites	ADJ	petit
nattes	NOM	natte
et	KON	et
les	DET:def	le
enfants	NOM	enfant
dansent	VER:pres	danser
autour	ADV	autour
du	PRP:det	du
lit	NOM	lit
ma	DET:pos	mon
ma	DET:pos	mon
ch-	TRC	ch-
Madame	NOM	Madame
Adélina	NOM	<unknown>
elle	PRO:cls	elle
est	AUX:pres	être
guérie	VER:pper	guérir
elle	PRO:cls	elle
est	AUX:pres	être
guérie	VER:pper	guérir
notre	DET:pos	notre
chérie	NOM	chérie
d'	PRP	un
Adélina	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
bien	ADV	bien
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
