papa	NOM	papa
il	PRO:clsi	il
me	PRO:clo	me
dira	VER:futu	dire
parce	TRC	parce
que	KON	que
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
on	PRO:cls	on
va	VER:pres	aller
commencer	VER:infi	commencer
Manon	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
regarde	VER:impe	regarder
ta	DET:pos	ton
date	NOM	date
de	PRP	de
naissance	NOM	naissance
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
¤D¤	NAM	<unknown>
oui	FNO	oui
¤D¤	NAM	<unknown>
¤D¤	NAM	<unknown>
voilà	FNO	voilà
hum	FNO	hum
aujourd'hui	ADV	aujourd'hui
on	PRO:cls	on
est	VER:pres	être
le	DET:def	le
¤D¤	NAM	<unknown>
et	KON	et
puis	KON	puis
mon	DET:pos	mon
nom	NOM	nom
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
Antoine	NAM	<unknown>
¤N¤	NAM	¤N¤
alors	ADV	alors
on	PRO:cls	on
joue	VER:pres	jouer
au	PRP:det	au
petit	ADJ	petit
cochon	NOM	cochon
qui	PRO:rel	qui
rit	VER:pres	rire
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
tu	PRO:cls	tu
m'	PRO:clo	me
expliques	VER:pres	expliquer
comment	PRO:int	comment
on	PRO:cls	on
joue	VER:pres	jouer
.	NOM:sig	<unknown>
alors	ADV	alors
alors	ADV	alors
si	KON	si
des	DET:ind	un
fois	NOM	fois
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
un	DET:ind	un
ca	NOM	<unknown>
veut	VER:pres	vouloir
dire	VER:infi	dire
tu	PRO:cls	tu
peux	VER:pres	pouvoir
prendre	VER:infi	prendre
une	DET:ind	un
petite	ADJ	petit
patte	NOM	patte
ou	KON	ou
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
si	KON	si
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
quoi	INT	quoi
.	NAM	<unknown>
si	KON	si
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
un	DET:ind	un
tu	PRO:cls	tu
peux	VER:pres	pouvoir
prendre	VER:infi	prendre
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
si	KON	si
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
un	DET:ind	un
je	PRO:cls	je
prends	VER:pres	prendre
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
veux	VER:pres	vouloir
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
attends	VER:impe	attendre
xxx	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tout	PRO:ind	tout
des	DET:ind	un
trucs	NOM	truc
mélangés	VER:pper	mélanger
donc	ADV	donc
nous	PRO:cls	nous
devons	VER:pres	devoir
faire	VER:infi	faire
