voilà	FNO	voilà
donc	ADV	donc
je	PRO:cls	je
vous	PRO:clo	vous
représente	VER:pres	représenter
le	DET:def	le
sujet	NOM	sujet
peut-être	ADV	peut-être
hum	FNO	hum
oui	FNO	oui
-y	PRO:clo	y
allez	VER:pres	aller
donc	ADV	donc
alors	ADV	alors
bon	INT	bon
le	DET:def	le
titre	NOM	titre
c'	PRO:cls	ce
est	VER:pres	être
comment	PRO:int	comment
les	DET:def	le
orthophonistes	NOM	orthophoniste
-ils	NAM	<unknown>
gérent	VER:pres	<unknown>
leur	DET:pos	leur
relation	NOM	relation
avec	PRP	avec
les	DET:def	le
patients	NOM	patient
et	KON	et
de	PRP	de
quelle	DET:int	quel
façon	NOM	façon
ils	PRO:cls	il
appréhendent	VER:pres	appréhender
le	DET:def	le
détachement	NOM	détachement
émotionnel	ADJ	émotionnel
qu'	KON	que
ils	PRO:cls	il
doivent	VER:pres	devoir
avoir	VER:infi	avoir
euh	INT	euh
par	PRP	par
rapport	NOM	rapport
euh	INT	euh
à	PRP	à
eux	PRO:ton	eux
donc	ADV	donc
bon	INT	bon
au	PRP:det	au
début	NOM	début
je	PRO:cls	je
vais	VER:pres	aller
vous	PRO:clo	vous
demander	VER:infi	demander
peut-être	ADV	peut-être
votre	DET:pos	votre
tranche	NOM	tranche
d'	PRP	un
âge	NOM	âge
euh	INT	euh
sans	PRP	sans
indiscrétion	NOM	indiscrétion
oui	FNO	oui
bah	INT	bah
disons	INT	disons
entre	PRP	entre
cinquante	NUM	@card@
et	KON	et
soixante	NUM	@card@
allez	INT	allez
d'	PRP	un
accord	NOM	accord
d'	PRP	un
accord	NOM	accord
et	KON	et
vos	DET:pos	votre
années	NOM	année
d'	PRP	un
expériences	NOM	expérience
aussi	ADV	aussi
alors	ADV	alors
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
commencé	VER:pper	commencer
en	PRP	en
quatre-vongt	NUM	<unknown>
huit	NUM	@card@
en	PRP	en
en	PRP	en
dix-neuf	NUM	@card@
cent	NUM	@card@
quatre-vingt	NUM	@card@
huit	NUM	@card@
et	KON	et
vous	PRO:cls	vous
avez	AUX:pres	avoir
travaillé	VER:pper	travailler
seulement	ADV	seulement
en	PRP	en
libéral	ADJ	libéral
ou	KON	ou
vous	PRO:cls	vous
avez	AUX:pres	avoir
fait	VER:pper	faire
euh	INT	euh
aussi	ADV	aussi
autre	ADJ	autre
chose	NOM	chose
en	PRP	en
hôpital	NOM	hôpital
euh	INT	euh
non	FNO	non
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
que	KON	que
du	PRP:det	du
libéral	ADJ	libéral
que	KON	que
du	PRP:det	du
libéral	ADJ	libéral
hum	FNO	hum
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
vous	PRO:cls	vous
