eh	INT	eh
ben	INT	ben
l'	DET:def	le
évènement	NOM	<unknown>
qui	PRO:rel	qui
m'	PRO:clo	me
a	VER:pres	avoir
le	DET:def	le
plus	ADV	plus
marqué	VER:pper	marquer
dans	PRP	dans
ma	DET:pos	mon
vie	NOM	vie
je	PRO:cls	je
dirais	VER:cond	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
je	PRO:cls	je
dirais	VER:cond	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
euh	INT	euh
un	DET:ind	un
ami	NOM	ami
à	PRP	à
moi	PRO:ton	moi
que	KON	que
j'	PRO:cls	je
avais	VER:impf	avoir
que	KON	que
je	PRO:cls	je
connaissais	VER:impf	connaître
pas	ADV	pas
pas	ADV	pas
tellement	ADV	tellement
plus	ADV	plus
que	KON	que
ça	PRO:ton	ça
euh	INT	euh
m'	PRO:clo	me
a	AUX:pres	avoir
proposé	VER:pper	proposer
de	PRP	de
participer	VER:infi	participer
à	PRP	à
un	DET:ind	un
projet	NOM	projet
qu'	KON	que
il	PRO:cls	il
avait	AUX:impf	avoir
eu	VER:pper	avoir
euh	INT	euh
enfin	ADV	enfin
qui	PRO:rel	qui
s'	PRO:clo	se
était	AUX:impf	être
réveillé	VER:pper	réveiller
un	DET:ind	un
jour	NOM	jour
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
il	PRO:clsi	il
s'	PRO:clo	se
était	AUX:impf	être
dit	VER:pper	dire
on	PRO:cls	on
va	VER:pres	aller
se	PRO:clo	se
présenter	VER:infi	présenter
aux	PRP:det	au
éléctions	NOM	<unknown>
municipales	ADJ	municipal
de	PRP	de
la	DET:def	le
ville	NOM	ville
de	PRP	de
¤T¤	NAM	¤T¤
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
jour	NOM	jour
où	PRO:rel	où
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
demandé	VER:pper	demander
euh	INT	euh
de	PRP	de
participer	VER:infi	participer
à	PRP	à
ça	PRO:ton	ça
qui	PRO:rel	qui
euh	INT	euh
jusque	PRP	jusque
là	ADV	là
pour	PRP	pour
l'	DET:def	le
instant	NOM	instant
puisque	KON	puisque
j'	PRO:cls	je
ai	VER:pres	avoir
que	KON	que
vingt	NUM	@card@
ans	NOM	an
jusque	PRP	jusque
là	ADV	là
m'	PRO:clo	me
a	AUX:pres	avoir
vraiment	ADV	vraiment
marqué	VER:pper	marquer
pour	PRP	pour
le	DET:def	le
