adv:int	pourquoi
?	est–ce
adj	équitable
prep	sur
co	euh
prep	sur
pro:int	quoi
v:mdl	aller
v-INF	reposer
det&FEM&SING	la
n	réussite
adj	scolaire
prep	de
det&SING	le/la
n	individu
PCT	.
prep	de
det&SING	le/la
v	élever
adv:neg	pas
prep	sur
det:poss&MASC&SING	son
n	origine
adj-FEM	social
adv:neg	pas
prep	sur
det&FEM&SING	la
n	fortune
prep	de
det:poss&PL	ses
adj	parent
PCT	.
adv:neg	pas
prep	sur
det:poss&MASC&SING	son
n	réseau
prep:art	de
n	relation
prep	sur
pro:int	quoi
adv	alors
PCT	.
co	ben
prep	sur
?	lui–même
prep	sur
PCT	.
det:poss&FEM&SING	sa
PCT	.
?	¤Pren1¤
PCT	.
adv:yn	oui
co	merci
prep	de
PCT	.
prep	sur
prep	sur
co	euh
det:poss&FEM&SING	sa
n	capacité
adj-FEM	intellectuel
PCT	.
det:poss&PL	ses
n	ressource
adj-FEM	personnel
adj	propre
det:poss&PL	ses
n	capacité
adj-FEM	intellectuel
?	est–ce
conj	que
pro:dem	ca
v	dépendre
det&MASC&SING	du
n	milieu
n-SING	social
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	.
adv	a+priori
adv:yn	non
PCT	.
adv:yn	non
PCT	.
conj	et
prep	sur
det:poss&MASC&SING	son
PCT	.
n	comportement
PCT	.
n	motivation
PCT	.
n	comportement
PCT	.
n	motivation
prep	sur
det:poss&MASC&SING	son
n	travail
PCT	.
conj	donc
pro:dem	ça
v	revenir
prep	à
prep	à
v-INF	mettre
prep	à
prep:art	à
n	parler
prep	de
det:gen	quel
co	euh
det:gen	quel
n	concept
pro:dem	ça
pro:subj	on
v	mériter
PCT	.
pro:subj	on
v	mériter
pro:int	ce+que
pro:subj	on
v:aux	avoir
v-PP	obtenir
conj	parce+que
pro:subj	on
v:aux	avoir
v:mdllex-PP	faire
det&SING	le/la
n	effort
n	nécessaire
det:gen	quelle
pro:rel	que
v:exist	être
det:poss&MASC&SING	son
n	origine
PCT	.
det&SING	le/la
n	école
v:mdl	devoir
adv	en
adv	en
adv	en+principe
v-INF	permettre
pro:dem	ça
v:exist	c'est
det&FEM&SING	la
?	mérito–
PCT	.
PCT	.
v:exist	c'est
n	pas
n	grave
conj	et
conj	donc
adj	a+priori
prep	pour
n	avoir
det&SING	le/la
n	équité
adv	parfois
pro:subj	on
PCT	.
v-PP	introduire
det&PL	des
n	inégalité
prep:art	pour
?	rééquilibrer
det&PL	les
n	chance
v-INF	aider
det&PL	les
adv	plus
adj	pauvre
prep:art	par
n	exemple
PCT	.
conj	pour+que
pro	tout+le+monde
v:aux	avoir
n	accès
prep	à
det&FEM&SING	la
n	cantine
adj	scolaire
adv	ben
v:exist	il+y+a
det&PL	des
n	famille
pro:rel	qui
v	payer
PCT	.
adv:neg	pas
conj	ou
pro:rel	qui
v	payer
n	moins
prep	parce+que
det:poss	leurs
n	revenu
v:exist	être
adv:neg	pas
adj	suffisant
conj	alors+que
pro:dem&PL	celui
pro:rel	qui
v:poss	avoir
det&PL	des
n	revenu
PCT	.
adj	suffisant
v	payer
det&MASC&SING	le
n	tarif
adv	plein
co	hein
pro:dem	ça
v:exist	c'est
det&FEM&SING	une
?	éga–
det&FEM&SING	une
n	inégalité
pro:subj	on
v:mdl&COND	pouvoir
pro:refl	se
pro:refl	se
v-INF	ériger
prep	contre
pro:dem	ça
PCT	.
pro:subj	on
v-COND	dire
v:exist	c'est
adv:neg	pas
n	juste
conj	mais
v:exist	c'est
adj	juste
prep	pour
