pourquoi	PRO:int	pourquoi
-ce	PRO:dem	ce
est	VER:pres	être
équitable	ADJ	équitable
sur	PRP	sur
euh	INT	euh
sur	PRP	sur
quoi	PRO:int	quoi
va	VER:pres	aller
reposer	VER:infi	reposer
la	DET:def	le
réussite	NOM	réussite
scolaire	ADJ	scolaire
de	PRP	de
l'	DET:def	le
individu	NOM	individu
de	PRP	de
l'	DET:def	le
élève	NOM	élève
pas	ADV	pas
sur	PRP	sur
son	DET:pos	son
origine	NOM	origine
sociale	ADJ	social
pas	ADV	pas
sur	PRP	sur
la	DET:def	le
fortune	NOM	fortune
de	PRP	de
ses	DET:pos	son
parents	NOM	parent
pas	ADV	pas
sur	PRP	sur
son	DET:pos	son
réseau	NOM	réseau
de	PRP	de
relations	NOM	relation
sur	PRP	sur
quoi	INT	quoi
alors	ADV	alors
ben	INT	ben
sur	PRP	sur
lui-même	PRO:ton	lui-même
sur	PRP	sur
sa	DET:pos	son
¤Pren¤	NAM	<unknown>
oui	FNO	oui
merci	FNO	merci
de	PRP	de
sur	PRP	sur
sur	PRP	sur
euh	INT	euh
sa	DET:pos	son
capacité	NOM	capacité
intellectuelle	ADJ	intellectuel
ses	DET:pos	son
ressources	NOM	ressource
personnelles	ADJ	personnel
propres	ADJ	propre
ses	DET:pos	son
capacités	NOM	capacité
intellectuelles	ADJ	intellectuel
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ca	NOM	<unknown>
dépend	VER:pres	dépendre
du	DET:par	du
milieu	NOM	milieu
social	ADJ	social
non	FNO	non
non	FNO	non
a	VER:pres	avoir
priori	ADV	<unknown>
non	FNO	non
non	FNO	non
et	KON	et
sur	PRP	sur
son	DET:pos	son
comportement	NOM	comportement
motivation	NOM	motivation
comportement	NOM	comportement
motivation	NOM	motivation
sur	PRP	sur
son	DET:pos	son
travail	NOM	travail
donc	ADV	donc
ça	PRO:cls	ça
revient	VER:pres	revenir
à	PRP	à
à	PRP	à
mettre	VER:infi	mettre
à	PRP	à
à	PRP	à
parler	VER:infi	parler
de	PRP	de
quel	DET:int	quel
euh	INT	euh
quel	DET:int	quel
concept	NOM	concept
ça	PRO:ton	ça
on	PRO:cls	on
mérite	VER:pres	mériter
on	PRO:cls	on
mérite	VER:pres	mériter
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
a	AUX:pres	avoir
obtenu	VER:pper	obtenir
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
l'	DET:def	le
effort	NOM	effort
nécessaire	ADJ	nécessaire
quelle	PRO:int	quel
que	KON	que
soit	KON	soit
son	DET:pos	son
origine	NOM	origine
l'	DET:def	le
école	NOM	école
doit	VER:pres	devoir
en	PRP	en
en	PRP	en
en	PRP	en
principe	NOM	principe
permettre	VER:infi	permettre
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
mérito-	NOM	<unknown>
-logie	NAM	<unknown>
-cratie	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
et	KON	et
donc	ADV	donc
a	VER:pres	avoir
priori	ADV	<unknown>
pour	PRP	pour
avoir	VER:infi	avoir
l'	DET:def	le
équité	NOM	équité
parfois	ADV	parfois
on	PRO:cls	on
introduit	VER:pres	introduire
des	DET:ind	un
inégalités	NOM	inégalité
pour	PRP	pour
rééquilibrer	VER:infi	rééquilibrer
les	DET:def	le
chances	NOM	chance
aider	VER:infi	aider
les	DET:def	le
plus	ADV	plus
pauvres	ADJ	pauvre
par	PRP	par
exemple	NOM	exemple
pour	PRP	pour
que	KON	que
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
ait	AUX:subp	avoir
accès	NOM	accès
à	PRP	à
la	DET:def	le
cantine	NOM	cantine
scolaire	ADJ	scolaire
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
familles	NOM	famille
qui	PRO:rel	qui
payent	VER:pres	payer
pas	ADV	pas
ou	KON	ou
qui	PRO:rel	qui
payent	VER:pres	payer
