bon	INT	bon
bah	INT	bah
alors	ADV	alors
euh	INT	euh
¤Pren¤	NAM	<unknown>
et	KON	et
¤Pren¤	NAM	<unknown>
je	PRO:cls	je
vais	VER:pres	aller
vous	PRO:clo	vous
demander	VER:infi	demander
de	PRP	de
euh	INT	euh
me	PRO:clo	me
parler	VER:infi	parler
euh	INT	euh
de	PRP	de
votre	DET:pos	votre
euh	INT	euh
parcours	NOM	parcours
donc	ADV	donc
euh	INT	euh
ce	PRO:dem	ce
que	PRO:rel	que
vous	PRO:cls	vous
avez	AUX:pres	avoir
fait	VER:pper	faire
comme	KON	comme
bac	NOM	bac
euh	INT	euh
et	KON	et
ce	PRO:dem	ce
que	PRO:rel	que
vous	PRO:cls	vous
faites	VER:pres	faire
comme	KON	comme
études	NOM	étude
actuellement	ADV	actuellement
.	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
commences	VER:pres	commencer
ou	KON	ou
je	PRO:cls	je
commence	VER:pres	commencer
bah	INT	bah
-y	PRO:clo	y
vas	VER:impe	aller
commence	VER:pres	commencer
bah	INT	bah
écoute	VER:impe	écouter
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
un	DET:ind	un
bac	NOM	bac
.	NAM	<unknown>
.	NAM	<unknown>
euh	INT	euh
parce	TRC	parce
que	KON	que
euh	INT	euh
parce	TRC	parce
que	KON	que
je	PRO:cls	je
trouvais	VER:impf	trouver
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
mieux	ADV	mieux
pour	PRP	pour
moi	PRO:ton	moi
étant	AUX:ppre	être
donné	VER:pper	donner
que	KON	que
j'	PRO:cls	je
étais	VER:impf	être
plutôt	ADV	plutôt
moyenne	NOM	moyenne
en	PRP	en
fait	NOM	fait
euh	INT	euh
j'	PRO:cls	je
étais	VER:impf	être
pas	ADV	pas
trop	ADV	trop
euh	INT	euh
forte	ADJ	fort
dans	PRP	dans
le	DET:def	le
domaine	NOM	domaine
scientifique	ADJ	scientifique
ni	KON	ni
trop	ADV	trop
littéraire	ADJ	littéraire
et	KON	et
puis	KON	puis
euh	INT	euh
l'	DET:def	le
éco	NOM	<unknown>
et	KON	et
la	DET:def	le
socio	NOM	<unknown>
ça	PRO:cls	ça
m'	PRO:clo	me
intéressait	VER:impf	intéresser
beaucoup	ADV	beaucoup
donc	ADV	donc
euh	INT	euh
après	ADV	après
mon	DET:pos	mon
bac	NOM:trc	baccalauréat
j'	PRO:cls	je
ai	VER:pres	avoir
direct	ADJ	direct
été	NOM	été
en	PRP	en
psycho	NOM	<unknown>
et	KON	et
euh	INT	euh
je	PRO:cls	je
compte	VER:pres	compter
passer	VER:infi	passer
juste	ADV	juste
une	DET:ind	un
licence	NOM	licence
par	PRP	par
contre	ADV	contre
pour	PRP	pour
euh	INT	euh
par	PRP	par
la	DET:def	le
suite	NOM	suite
aller	VER:infi	aller
à	PRP	à
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
et	KON	et
euh	INT	euh
faire	VER:infi	faire
euh	INT	euh
éduc	NOM	<unknown>
spécialisée	VER:pper	spécialiser
dans	PRP	dans
l'	DET:def	le
enfance	NOM	enfance
euh	INT	euh
puis	KON	puis
bah	INT	bah
voilà	FNO	voilà
et	KON	et
toi	PRO:ton	toi
alors	ADV	alors
euh	INT	euh
moi	PRO:ton	moi
du	PRP:det	du
coup	NOM	coup
j'	PRO:cls	je
ai	AUX:pres	avoir
fais	VER:pres	faire
un	DET:ind	un
bac	NOM	bac
.	NAM	<unknown>
.	NAM	<unknown>
aussi	ADV	aussi
bah	INT	bah
un	DET:ind	un
peu	NOM	peu
pareil	ADJ	pareil
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
étais	VER:impf	être
moyenne	ADJ	moyen
partout	ADV	partout
euh	INT	euh
enfin	ADV	enfin
et	KON	et
très	ADV	très
nulle	ADJ	nul
en	PRP	en
sciences	NOM	science
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
.	NAM	<unknown>
ça	PRO:cls	ça
aurait	AUX:cond	avoir
pas	ADV	pas
été	AUX:pper	être
possible	ADJ	possible
et	KON	et
euh	INT	euh
après	ADV	après
aussi	ADV	aussi
dans	PRP	dans
l'	DET:def	le
idée	NOM	idée
que	KON	que
ça	PRO:cls	ça
ouvrait	VER:impf	ouvrir
pas	ADV	pas
mal	ADV	mal
de	PRP	de
portes	NOM	porte
donc	ADV	donc
euh	INT	euh
comme	KON	comme
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
trop	ADV	trop
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
voulais	VER:impf	vouloir
faire	VER:infi	faire
à	PRP	à
ce	DET:dem	ce
moment	NOM	moment
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
plutôt	ADV	plutôt
hum	FNO	hum
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
fait	VER:pper	faire
le	DET:def	le
choix	NOM	choix
là	ADV	là
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
après	ADV	après
ton	DET:pos	ton
bac	NOM:trc	baccalauréat
tu	PRO:cls	tu
as	AUX:pres	avoir
fait	VER:pper	faire
quoi	INT	quoi
ouais	FNO	ouais
après	ADV	après
mon	DET:pos	mon
bac	NOM:trc	baccalauréat
hum	FNO	hum
euh	INT	euh
donc	ADV	donc
ouais	FNO	ouais
donc	ADV	donc
après	ADV	après
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
en	PRP	en
en	PRP	en
