"","fichier","corpus","loc","utt","token","age","annee","nbx","sumx","nbsx","sumsx","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj","x","pc.FUT","pc.COND","pc.SUBJ","pc.IMPF","pc.prorel","pc.conj","pc.comme","pc.PPRE","pc.prep.inf","pc.n.conj.det","pc.n.adj","pc.n.prep.n","pc.cest...que","pc.ya...qu","pc.v.inf","pc.dit.qu","pc.plus.qu","pc.proobj"
"1","./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien1_bia.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",81,10,"3;02.12",3.16667,0,0,0,0,0,2,0,0,1,8,2,0,0,0,0,0,1,0,2,0,0,2,"x",0,0.2,0,0,0.1,0.8,0.2,0,0,0,0,0,0.1,0,0.2,0,0,0.2
"2","./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien2_bia.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",85,10,"3;04.23",3.33333,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,1,0,0,2,0,0,0,"x",0,0,0.1,0,0,0.7,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0
"3","./ttg_perceo_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien3_bia.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",139,10,"20;",20,0,0,0,0,0,0,0,0,4,12,1,0,3,0,1,0,4,0,2,1,0,8,"x",0,0,0,0,0.4,1.2,0.1,0,0.3,0,0.1,0,0.4,0,0.2,0.1,0,0.8
"4","./ttg_perceo_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub15_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",129,10,"6;",6,0,0,0,0,0,1,0,0,0,11,3,0,2,0,0,2,0,0,2,0,0,2,"x",0,0.1,0,0,0,1.1,0.3,0,0.2,0,0,0.2,0,0,0.2,0,0,0.2
"5","./ttg_perceo_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub16_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",95,10,"6;",6,0,0,0,0,0,0,0,1,1,9,1,0,1,1,2,0,0,0,1,0,0,2,"x",0,0,0,0.1,0.1,0.9,0.1,0,0.1,0.1,0.2,0,0,0,0.1,0,0,0.2
"6","./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem1_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",101,10,"10;",10,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,1,0,0,6,"x",0,0,0,0,0,0.7,0,0,0.3,0,0,0.1,0,0,0.1,0,0,0.6
"7","./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem2_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",112,10,"6;03.17",6.25,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,0,0,1,0,0,5,"x",0,0.1,0.1,0,0.1,0.2,0,0,0.1,0,0,0.2,0,0,0.1,0,0,0.5
"8","./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem3_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",110,10,"6;03.17",6.25,0,0,0,0,0,0,0,0,1,7,0,0,2,1,1,1,0,0,2,1,0,1,"x",0,0,0,0,0.1,0.7,0,0,0.2,0.1,0.1,0.1,0,0,0.2,0.1,0,0.1
"9","./ttg_perceo_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem4_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",88,9,"6;03.17",6.25,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,2,0,0,6,"x",0,0,0,0.111111111111111,0,0.444444444444444,0,0,0,0,0,0.333333333333333,0,0,0.222222222222222,0,0,0.666666666666667
"10","./ttg_perceo_clan/Enfants_Long_Cassandra_Can_5.2-6.7_Cassandra11_Can_Anon.tei_corpo2.pl-CHI.tei_corpo_ttg.tei_corpo.cha "," LONG "," CHI ",110,10,"6;02.12",6.16667,0,0,0,0,0,0,2,0,2,5,0,0,1,0,0,1,1,0,4,0,1,0,"x",0,0,0.2,0,0.2,0.5,0,0,0.1,0,0,0.1,0.1,0,0.4,0,0.1,0
