fichier	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien1_bia.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	80	10	3;03.01	3.25	10	4.600000	1	7.000000	0	0	0	0	1	6	2	0	0	0	0	0	1	0	1	0	0	4	x
./conllu_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien2_bia.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	84	10	3;05.10	3.41667	10	4.700000	1	9.000000	0	0	0	0	0	7	0	0	1	0	0	1	0	0	1	0	0	0	x
./conllu_clan/Enfants_Long_adrien_bia_3.3-3.7_adrien3_bia.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	138	10	20;	20	10	5.300000	2	7.000000	0	0	0	0	3	14	1	0	3	0	2	0	4	0	0	1	0	2	x
./conllu_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub15_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	128	10	6;00.23	6	10	5.300000	3	7.333333	0	0	0	0	0	9	3	0	2	0	0	0	0	0	1	0	0	2	x
./conllu_clan/Enfants_Long_Akoub_Can_5.0-6.3_Akoub16_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	93	10	6;01.00	6.08333	10	4.600000	0	0	0	0	0	0	1	9	1	0	1	2	2	0	0	0	0	0	0	1	x
./conllu_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem1_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	99	10	10;	10	10	4.300000	0	0	0	0	0	0	0	7	0	0	3	0	0	1	0	0	0	0	0	3	x
./conllu_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem2_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	107	10	6;03.24	6.25	10	4.600000	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem3_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	109	10	6;04.01	6.33333	10	4.600000	0	0	0	0	0	0	2	6	0	0	2	1	1	1	0	0	1	1	0	1	x
./conllu_clan/Enfants_Long_Alhem_Can_6.3-6.6_Alhem4_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	87	9	6;04.08	6.33333	9	4.111111	0	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_Cassandra_Can_5.2-6.7_Cassandra11_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	110	10	6;02.24	6.16667	10	4.600000	0	0	0	0	0	0	3	4	0	0	1	0	0	0	1	0	2	0	1	0	x
./conllu_clan/Enfants_Long_Cassandra_Can_5.2-6.7_Cassandra12_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	93	10	6;03.08	6.25	10	4.500000	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	1	0	0	3	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia10_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	118	10	5;00.12	5	10	4.700000	0	0	0	0	0	0	2	8	0	0	4	0	0	3	1	0	0	1	1	4	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia11_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	87	10	5;01.09	5.08333	10	4.300000	0	0	0	0	0	0	0	4	0	0	1	0	0	2	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia12_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	132	10	5;01.09	5.08333	10	5.800000	3	7.666667	0	0	0	1	3	6	1	0	2	0	0	0	1	0	0	1	1	3	x
